净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,0.9940,0.9940,0.71%,开放申购,开放赎回,
2016-07-19,0.9870,0.9870,0.30%,开放申购,开放赎回,
2016-07-18,0.9840,0.9840,-1.11%,开放申购,开放赎回,
2016-07-15,0.9950,0.9950,-0.20%,开放申购,开放赎回,
2016-07-14,0.9970,0.9970,-0.60%,开放申购,开放赎回,
2016-07-13,1.0030,1.0030,0.40%,开放申购,开放赎回,
2016-07-12,0.9990,0.9990,-0.79%,开放申购,开放赎回,
2016-07-11,1.0070,1.0070,-0.49%,开放申购,开放赎回,
2016-07-08,1.0120,1.0120,-0.49%,开放申购,开放赎回,
2016-07-07,1.0170,1.0170,0.20%,开放申购,开放赎回,
2016-07-06,1.0150,1.0150,0.20%,开放申购,开放赎回,
2016-07-05,1.0130,1.0130,0.20%,开放申购,开放赎回,
2016-07-04,1.0110,1.0110,0.90%,开放申购,开放赎回,
2016-07-01,1.0020,1.0020,0.00%,开放申购,开放赎回,
2016-06-30,1.0020,1.0020,-0.50%,开放申购,开放赎回,
2016-06-29,1.0070,1.0070,0.30%,开放申购,开放赎回,
2016-06-28,1.0040,1.0040,0.20%,开放申购,开放赎回,
2016-06-27,1.0020,1.0020,0.30%,开放申购,开放赎回,
2016-06-24,0.9990,0.9990,-0.10%,开放申购,开放赎回,
2016-06-23,1.0000,1.0000,,封闭期,封闭期,
2016-06-17,1.0000,1.0000,0.00%,封闭期,封闭期,
2016-06-16,1.0000,1.0000,,封闭期,封闭期,
