净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,0.9180,0.9180,-0.11%,开放申购,开放赎回,
2016-07-19,0.9190,0.9190,-0.33%,开放申购,开放赎回,
2016-07-18,0.9220,0.9220,0.00%,开放申购,开放赎回,
2016-07-15,0.9220,0.9220,-0.11%,开放申购,开放赎回,
2016-07-14,0.9230,0.9230,0.22%,开放申购,开放赎回,
2016-07-13,0.9210,0.9210,0.22%,开放申购,开放赎回,
2016-07-12,0.9190,0.9190,1.66%,开放申购,开放赎回,
2016-07-11,0.9040,0.9040,0.22%,开放申购,开放赎回,
2016-07-08,0.9020,0.9020,-0.22%,开放申购,开放赎回,
2016-07-07,0.9040,0.9040,-0.11%,开放申购,开放赎回,
2016-07-06,0.9050,0.9050,1.34%,开放申购,开放赎回,
2016-07-05,0.8930,0.8930,0.79%,开放申购,开放赎回,
2016-07-04,0.8860,0.8860,1.72%,开放申购,开放赎回,
2016-07-01,0.8710,0.8710,0.11%,开放申购,开放赎回,
2016-06-30,0.8700,0.8700,0.12%,开放申购,开放赎回,
2016-06-29,0.8690,0.8690,0.12%,开放申购,开放赎回,
2016-06-28,0.8680,0.8680,0.35%,开放申购,开放赎回,
2016-06-27,0.8650,0.8650,2.25%,开放申购,开放赎回,
2016-06-24,0.8460,0.8460,-1.17%,开放申购,开放赎回,
2016-06-23,0.8560,0.8560,-0.23%,开放申购,开放赎回,
2016-06-22,0.8580,0.8580,1.30%,开放申购,开放赎回,
2016-06-21,0.8470,0.8470,-0.24%,开放申购,开放赎回,
2016-06-20,0.8490,0.8490,0.95%,开放申购,开放赎回,
2016-06-17,0.8410,0.8410,0.72%,开放申购,开放赎回,
2016-06-16,0.8350,0.8350,0.00%,开放申购,开放赎回,
2016-06-15,0.8350,0.8350,2.96%,开放申购,开放赎回,
2016-06-14,0.8110,0.8110,0.75%,开放申购,开放赎回,
2016-06-13,0.8050,0.8050,-4.05%,开放申购,开放赎回,
2016-06-08,0.8390,0.8390,0.00%,开放申购,开放赎回,
2016-06-07,0.8390,0.8390,0.36%,开放申购,开放赎回,
2016-06-06,0.8360,0.8360,0.48%,开放申购,开放赎回,
2016-06-03,0.8320,0.8320,0.36%,开放申购,开放赎回,
2016-06-02,0.8290,0.8290,0.73%,开放申购,开放赎回,
2016-06-01,0.8230,0.8230,0.37%,开放申购,开放赎回,
2016-05-31,0.8200,0.8200,4.19%,开放申购,开放赎回,
2016-05-30,0.7870,0.7870,-0.38%,开放申购,开放赎回,
2016-05-27,0.7900,0.7900,0.00%,开放申购,开放赎回,
2016-05-26,0.7900,0.7900,0.25%,开放申购,开放赎回,
2016-05-25,0.7880,0.7880,-0.51%,开放申购,开放赎回,
2016-05-24,0.7920,0.7920,-0.88%,开放申购,开放赎回,
2016-05-23,0.7990,0.7990,0.88%,开放申购,开放赎回,
2016-05-20,0.7920,0.7920,0.76%,开放申购,开放赎回,
2016-05-19,0.7860,0.7860,-0.13%,开放申购,开放赎回,
2016-05-18,0.7870,0.7870,-2.24%,开放申购,开放赎回,
2016-05-17,0.8050,0.8050,-0.37%,开放申购,开放赎回,
2016-05-16,0.8080,0.8080,1.25%,开放申购,开放赎回,
2016-05-13,0.7980,0.7980,-0.75%,开放申购,开放赎回,
2016-05-12,0.8040,0.8040,0.00%,开放申购,开放赎回,
2016-05-11,0.8040,0.8040,0.50%,开放申购,开放赎回,
2016-05-10,0.8000,0.8000,0.00%,开放申购,开放赎回,
2016-05-09,0.8000,0.8000,-3.26%,开放申购,开放赎回,
2016-05-06,0.8270,0.8270,-3.73%,开放申购,开放赎回,
2016-05-05,0.8590,0.8590,0.35%,开放申购,开放赎回,
2016-05-04,0.8560,0.8560,-0.58%,开放申购,开放赎回,
2016-05-03,0.8610,0.8610,2.38%,开放申购,开放赎回,
2016-04-29,0.8410,0.8410,0.12%,开放申购,开放赎回,
2016-04-28,0.8400,0.8400,-0.36%,开放申购,开放赎回,
2016-04-27,0.8430,0.8430,-0.24%,开放申购,开放赎回,
2016-04-26,0.8450,0.8450,0.96%,开放申购,开放赎回,
2016-04-25,0.8370,0.8370,-0.24%,开放申购,开放赎回,
2016-04-22,0.8390,0.8390,0.36%,开放申购,开放赎回,
2016-04-21,0.8360,0.8360,-0.71%,开放申购,开放赎回,
2016-04-20,0.8420,0.8420,-3.44%,开放申购,开放赎回,
2016-04-19,0.8720,0.8720,0.11%,开放申购,开放赎回,
2016-04-18,0.8710,0.8710,-1.25%,开放申购,开放赎回,
2016-04-15,0.8820,0.8820,0.11%,开放申购,开放赎回,
2016-04-14,0.8810,0.8810,0.80%,开放申购,开放赎回,
2016-04-13,0.8740,0.8740,1.27%,开放申购,开放赎回,
2016-04-12,0.8630,0.8630,-0.23%,开放申购,开放赎回,
2016-04-11,0.8650,0.8650,1.76%,开放申购,开放赎回,
2016-04-08,0.8500,0.8500,-0.47%,开放申购,开放赎回,
2016-04-07,0.8540,0.8540,-1.39%,开放申购,开放赎回,
2016-04-06,0.8660,0.8660,0.35%,开放申购,开放赎回,
2016-04-05,0.8630,0.8630,1.89%,开放申购,开放赎回,
2016-04-01,0.8470,0.8470,-0.12%,开放申购,开放赎回,
2016-03-31,0.8480,0.8480,0.24%,开放申购,开放赎回,
2016-03-30,0.8460,0.8460,2.92%,开放申购,开放赎回,
2016-03-29,0.8220,0.8220,-1.67%,开放申购,开放赎回,
2016-03-28,0.8360,0.8360,-0.48%,开放申购,开放赎回,
2016-03-25,0.8400,0.8400,0.72%,开放申购,开放赎回,
2016-03-24,0.8340,0.8340,-1.42%,开放申购,开放赎回,
2016-03-23,0.8460,0.8460,0.59%,开放申购,开放赎回,
2016-03-22,0.8410,0.8410,-0.12%,开放申购,开放赎回,
2016-03-21,0.8420,0.8420,2.68%,开放申购,开放赎回,
2016-03-18,0.8200,0.8200,3.40%,开放申购,开放赎回,
2016-03-17,0.7930,0.7930,2.72%,开放申购,开放赎回,
2016-03-16,0.7720,0.7720,-0.52%,开放申购,开放赎回,
2016-03-15,0.7760,0.7760,-0.77%,开放申购,开放赎回,
2016-03-14,0.7820,0.7820,2.36%,开放申购,开放赎回,
2016-03-11,0.7640,0.7640,0.26%,开放申购,开放赎回,
2016-03-10,0.7620,0.7620,-1.55%,开放申购,开放赎回,
2016-03-09,0.7740,0.7740,-2.03%,开放申购,开放赎回,
2016-03-08,0.7900,0.7900,0.13%,开放申购,开放赎回,
2016-03-07,0.7890,0.7890,1.54%,开放申购,开放赎回,
2016-03-04,0.7770,0.7770,-1.02%,开放申购,开放赎回,
2016-03-03,0.7850,0.7850,0.38%,开放申购,开放赎回,
2016-03-02,0.7820,0.7820,4.55%,开放申购,开放赎回,
2016-03-01,0.7480,0.7480,2.33%,开放申购,开放赎回,
2016-02-29,0.7310,0.7310,-3.05%,开放申购,开放赎回,
2016-02-26,0.7540,0.7540,1.21%,开放申购,开放赎回,
2016-02-25,0.7450,0.7450,-6.64%,开放申购,开放赎回,
