净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,1.0545,1.3680,0.06%,开放申购,开放赎回,
2016-07-19,1.0539,1.3674,0.09%,开放申购,开放赎回,
2016-07-18,1.0530,1.3665,0.08%,开放申购,开放赎回,
2016-07-15,1.0522,1.3657,0.07%,开放申购,开放赎回,
2016-07-14,1.0515,1.3650,0.05%,开放申购,开放赎回,
2016-07-13,1.0510,1.3645,0.00%,开放申购,开放赎回,
2016-07-12,1.0510,1.3645,0.04%,开放申购,开放赎回,
2016-07-11,1.0506,1.3641,0.08%,开放申购,开放赎回,
2016-07-08,1.0498,1.3633,0.14%,开放申购,开放赎回,
2016-07-07,1.0483,1.3618,0.11%,开放申购,开放赎回,
2016-07-06,1.0472,1.3607,0.08%,开放申购,开放赎回,
2016-07-05,1.0464,1.3599,0.07%,开放申购,开放赎回,
2016-07-04,1.0457,1.3592,0.09%,开放申购,开放赎回,
2016-07-01,1.0448,1.3583,0.06%,开放申购,开放赎回,
2016-06-30,1.0442,1.3577,0.07%,开放申购,开放赎回,
2016-06-29,1.0435,1.3570,-0.01%,开放申购,开放赎回,
2016-06-28,1.0436,1.3571,0.05%,开放申购,开放赎回,
2016-06-27,1.0431,1.3566,0.11%,开放申购,开放赎回,
2016-06-24,1.0420,1.3555,0.08%,开放申购,开放赎回,
2016-06-23,1.0412,1.3547,0.03%,开放申购,开放赎回,
2016-06-22,1.0409,1.3544,0.05%,开放申购,开放赎回,
2016-06-21,1.0404,1.3539,-0.01%,开放申购,开放赎回,
2016-06-20,1.0405,1.3540,0.08%,开放申购,开放赎回,
2016-06-17,1.0397,1.3532,0.06%,开放申购,开放赎回,
2016-06-16,1.0391,1.3526,0.07%,开放申购,开放赎回,
2016-06-15,1.0384,1.3519,0.02%,开放申购,开放赎回,
2016-06-14,1.0382,1.3517,0.03%,开放申购,开放赎回,
2016-06-13,1.0379,1.3514,0.06%,开放申购,开放赎回,
2016-06-08,1.0373,1.3508,0.03%,开放申购,开放赎回,
2016-06-07,1.0370,1.3505,0.05%,开放申购,开放赎回,
2016-06-06,1.0365,1.3500,0.07%,开放申购,开放赎回,
2016-06-03,1.0358,1.3493,0.01%,开放申购,开放赎回,
2016-06-02,1.0357,1.3492,0.00%,开放申购,开放赎回,
2016-06-01,1.0357,1.3492,-0.01%,开放申购,开放赎回,
2016-05-31,1.0358,1.3493,-0.01%,开放申购,开放赎回,
2016-05-30,1.0359,1.3494,0.07%,开放申购,开放赎回,
2016-05-27,1.0352,1.3487,0.02%,开放申购,开放赎回,
2016-05-26,1.0350,1.3485,-0.01%,开放申购,开放赎回,
2016-05-25,1.0351,1.3486,0.03%,开放申购,开放赎回,
2016-05-24,1.0348,1.3483,0.07%,开放申购,开放赎回,
2016-05-23,1.0341,1.3476,0.08%,开放申购,开放赎回,
2016-05-20,1.0333,1.3468,-0.03%,开放申购,开放赎回,
2016-05-19,1.0336,1.3471,0.00%,开放申购,开放赎回,
2016-05-18,1.0336,1.3471,-0.02%,开放申购,开放赎回,
2016-05-17,1.0338,1.3473,0.06%,开放申购,开放赎回,
2016-05-16,1.0332,1.3467,0.04%,开放申购,开放赎回,
2016-05-13,1.0328,1.3463,0.06%,开放申购,开放赎回,
2016-05-12,1.0322,1.3457,0.03%,开放申购,开放赎回,
2016-05-11,1.0319,1.3454,0.05%,开放申购,开放赎回,
2016-05-10,1.0314,1.3449,0.10%,开放申购,开放赎回,
2016-05-09,1.0304,1.3439,0.11%,开放申购,开放赎回,
2016-05-06,1.0293,1.3428,0.06%,开放申购,开放赎回,
2016-05-05,1.0287,1.3422,0.06%,开放申购,开放赎回,
2016-05-04,1.0281,1.3416,-0.04%,开放申购,开放赎回,
2016-05-03,1.0285,1.3420,-0.06%,开放申购,开放赎回,
2016-04-29,1.0291,1.3426,-0.03%,开放申购,开放赎回,
2016-04-28,1.0294,1.3429,0.05%,开放申购,开放赎回,
2016-04-27,1.0289,1.3424,0.07%,开放申购,开放赎回,
2016-04-26,1.0282,1.3417,-0.13%,开放申购,开放赎回,
