净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-04-22,2.0640,2.0640,2.03%,开放申购,开放赎回,
2016-04-21,2.0230,2.0230,-2.55%,开放申购,开放赎回,
2016-04-20,2.0760,2.0760,-3.13%,开放申购,开放赎回,
2016-04-19,2.1430,2.1430,0.42%,开放申购,开放赎回,
2016-04-18,2.1340,2.1340,-0.74%,开放申购,开放赎回,
2016-04-15,2.1500,2.1500,-0.23%,开放申购,开放赎回,
2016-04-14,2.1550,2.1550,1.56%,开放申购,开放赎回,
2016-04-13,2.1220,2.1220,1.68%,开放申购,开放赎回,
2016-04-12,2.0870,2.0870,-1.14%,开放申购,开放赎回,
2016-04-11,2.1110,2.1110,1.54%,开放申购,开放赎回,
2016-04-08,2.0790,2.0790,-1.14%,开放申购,开放赎回,
2016-04-07,2.1030,2.1030,-1.73%,开放申购,开放赎回,
2016-04-06,2.1400,2.1400,1.23%,开放申购,开放赎回,
2016-04-05,2.1140,2.1140,2.32%,开放申购,开放赎回,
2016-04-01,2.0660,2.0660,-0.67%,开放申购,开放赎回,
2016-03-31,2.0800,2.0800,0.78%,开放申购,开放赎回,
2016-03-30,2.0640,2.0640,4.35%,开放申购,开放赎回,
2016-03-29,1.9780,1.9780,-2.13%,开放申购,开放赎回,
2016-03-28,2.0210,2.0210,-0.25%,开放申购,开放赎回,
2016-03-25,2.0260,2.0260,-0.73%,开放申购,开放赎回,
2016-03-24,2.0410,2.0410,-0.54%,开放申购,开放赎回,
2016-03-23,2.0520,2.0520,0.64%,开放申购,开放赎回,
2016-03-22,2.0390,2.0390,-0.15%,开放申购,开放赎回,
2016-03-21,2.0420,2.0420,2.05%,开放申购,开放赎回,
2016-03-18,2.0010,2.0010,3.52%,开放申购,开放赎回,
2016-03-17,1.9330,1.9330,5.00%,开放申购,开放赎回,
2016-03-16,1.8410,1.8410,-1.50%,开放申购,开放赎回,
2016-03-15,1.8690,1.8690,0.43%,开放申购,开放赎回,
2016-03-14,1.8610,1.8610,4.43%,开放申购,开放赎回,
2016-03-11,1.7820,1.7820,-0.06%,开放申购,开放赎回,
2016-03-10,1.7830,1.7830,-1.65%,开放申购,开放赎回,
2016-03-09,1.8130,1.8130,-2.21%,开放申购,开放赎回,
2016-03-08,1.8540,1.8540,1.09%,开放申购,开放赎回,
2016-03-07,1.8340,1.8340,1.66%,开放申购,开放赎回,
2016-03-04,1.8040,1.8040,-3.53%,开放申购,开放赎回,
2016-03-03,1.8700,1.8700,-0.80%,开放申购,开放赎回,
2016-03-02,1.8850,1.8850,4.20%,开放申购,开放赎回,
2016-03-01,1.8090,1.8090,2.38%,开放申购,开放赎回,
2016-02-29,1.7670,1.7670,-5.96%,开放申购,开放赎回,
2016-02-26,1.8790,1.8790,0.00%,开放申购,开放赎回,
2016-02-25,1.8790,1.8790,-7.30%,开放申购,开放赎回,
2016-02-24,2.0270,2.0270,-1.75%,开放申购,开放赎回,
2016-02-23,2.0630,2.0630,-0.96%,开放申购,开放赎回,
2016-02-22,2.0830,2.0830,1.76%,开放申购,开放赎回,
2016-02-19,2.0470,2.0470,0.74%,开放申购,开放赎回,
2016-02-18,2.0320,2.0320,-0.39%,开放申购,开放赎回,
2016-02-17,2.0400,2.0400,1.69%,开放申购,开放赎回,
2016-02-16,2.0060,2.0060,4.15%,开放申购,开放赎回,
2016-02-15,1.9260,1.9260,0.21%,开放申购,开放赎回,
2016-02-05,1.9220,1.9220,-3.47%,开放申购,开放赎回,
2016-02-04,1.9910,1.9910,2.84%,开放申购,开放赎回,
2016-02-03,1.9360,1.9360,1.63%,开放申购,开放赎回,
2016-02-02,1.9050,1.9050,4.44%,开放申购,开放赎回,
2016-02-01,1.8240,1.8240,-0.16%,开放申购,开放赎回,
2016-01-29,1.8270,1.8270,3.75%,开放申购,开放赎回,
2016-01-28,1.7610,1.7610,-5.17%,开放申购,开放赎回,
2016-01-27,1.8570,1.8570,-2.62%,开放申购,开放赎回,
2016-01-26,1.9070,1.9070,-6.61%,开放申购,开放赎回,
2016-01-25,2.0420,2.0420,2.30%,开放申购,开放赎回,
2016-01-22,1.9960,1.9960,1.53%,开放申购,开放赎回,
2016-01-21,1.9660,1.9660,,开放申购,开放赎回,
