净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,2.0350,2.0350,-0.44%,开放申购,开放赎回,
2016-07-19,2.0440,2.0440,1.44%,开放申购,开放赎回,
2016-07-18,2.0150,2.0150,-0.74%,开放申购,开放赎回,
2016-07-15,2.0300,2.0300,-0.78%,开放申购,开放赎回,
2016-07-14,2.0460,2.0460,0.20%,开放申购,开放赎回,
2016-07-13,2.0420,2.0420,2.25%,开放申购,开放赎回,
2016-07-12,1.9970,1.9970,0.66%,开放申购,开放赎回,
2016-07-11,1.9840,1.9840,-1.10%,开放申购,开放赎回,
2016-07-08,2.0060,2.0060,0.50%,开放申购,开放赎回,
2016-07-07,1.9960,1.9960,-1.14%,开放申购,开放赎回,
2016-07-06,2.0190,2.0190,-0.20%,开放申购,开放赎回,
2016-07-05,2.0230,2.0230,-0.25%,开放申购,开放赎回,
2016-07-04,2.0280,2.0280,1.55%,开放申购,开放赎回,
2016-07-01,1.9970,1.9970,1.06%,开放申购,开放赎回,
2016-06-30,1.9760,1.9760,0.10%,开放申购,开放赎回,
2016-06-29,1.9740,1.9740,-0.55%,开放申购,开放赎回,
2016-06-28,1.9850,1.9850,2.06%,开放申购,开放赎回,
2016-06-27,1.9450,1.9450,2.64%,开放申购,开放赎回,
2016-06-24,1.8950,1.8950,-0.16%,开放申购,开放赎回,
2016-06-23,1.8980,1.8980,0.85%,开放申购,开放赎回,
2016-06-22,1.8820,1.8820,2.17%,开放申购,开放赎回,
2016-06-21,1.8420,1.8420,-0.70%,开放申购,开放赎回,
2016-06-20,1.8550,1.8550,0.00%,开放申购,开放赎回,
2016-06-17,1.8550,1.8550,0.87%,开放申购,开放赎回,
2016-06-16,1.8390,1.8390,-1.29%,开放申购,开放赎回,
2016-06-15,1.8630,1.8630,2.59%,开放申购,开放赎回,
2016-06-14,1.8160,1.8160,-0.16%,开放申购,开放赎回,
2016-06-13,1.8190,1.8190,-5.26%,开放申购,开放赎回,
2016-06-08,1.9200,1.9200,-0.47%,开放申购,开放赎回,
2016-06-07,1.9290,1.9290,-0.57%,开放申购,开放赎回,
2016-06-06,1.9400,1.9400,-0.36%,开放申购,开放赎回,
2016-06-03,1.9470,1.9470,1.88%,开放申购,开放赎回,
2016-06-02,1.9110,1.9110,1.00%,开放申购,开放赎回,
2016-06-01,1.8920,1.8920,1.12%,开放申购,开放赎回,
2016-05-31,1.8710,1.8710,5.11%,开放申购,开放赎回,
2016-05-30,1.7800,1.7800,-1.00%,开放申购,开放赎回,
2016-05-27,1.7980,1.7980,-1.05%,开放申购,开放赎回,
2016-05-26,1.8170,1.8170,0.61%,开放申购,开放赎回,
2016-05-25,1.8060,1.8060,-0.28%,开放申购,开放赎回,
2016-05-24,1.8110,1.8110,-1.15%,开放申购,开放赎回,
2016-05-23,1.8320,1.8320,2.52%,开放申购,开放赎回,
2016-05-20,1.7870,1.7870,1.19%,开放申购,开放赎回,
2016-05-19,1.7660,1.7660,1.09%,开放申购,开放赎回,
2016-05-18,1.7470,1.7470,-3.64%,开放申购,开放赎回,
2016-05-17,1.8130,1.8130,1.46%,开放申购,开放赎回,
2016-05-16,1.7870,1.7870,1.77%,开放申购,开放赎回,
2016-05-13,1.7560,1.7560,-0.73%,开放申购,开放赎回,
2016-05-12,1.7690,1.7690,0.28%,开放申购,开放赎回,
2016-05-11,1.7640,1.7640,-1.84%,开放申购,开放赎回,
2016-05-10,1.7970,1.7970,-0.33%,开放申购,开放赎回,
2016-05-09,1.8030,1.8030,-5.50%,开放申购,开放赎回,
2016-05-06,1.9080,1.9080,-4.26%,开放申购,开放赎回,
2016-05-05,1.9930,1.9930,0.71%,开放申购,开放赎回,
2016-05-04,1.9790,1.9790,0.30%,开放申购,开放赎回,
2016-05-03,1.9730,1.9730,3.30%,开放申购,开放赎回,
2016-04-29,1.9100,1.9100,-1.34%,开放申购,开放赎回,
2016-04-28,1.9360,1.9360,0.00%,开放申购,开放赎回,
2016-04-27,1.9360,1.9360,-1.02%,开放申购,开放赎回,
2016-04-26,1.9560,1.9560,1.50%,开放申购,开放赎回,
2016-04-25,1.9270,1.9270,-1.13%,开放申购,开放赎回,
2016-04-22,1.9490,1.9490,1.14%,开放申购,开放赎回,
2016-04-21,1.9270,1.9270,-1.73%,开放申购,开放赎回,
2016-04-20,1.9610,1.9610,-4.99%,开放申购,开放赎回,
