净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,0.9380,0.9380,-0.21%,开放申购,开放赎回,
2016-07-19,0.9400,0.9400,0.21%,开放申购,开放赎回,
2016-07-18,0.9380,0.9380,-1.16%,开放申购,开放赎回,
2016-07-15,0.9490,0.9490,-0.52%,开放申购,开放赎回,
2016-07-14,0.9540,0.9540,-0.63%,开放申购,开放赎回,
2016-07-13,0.9600,0.9600,0.21%,开放申购,开放赎回,
2016-07-12,0.9580,0.9580,1.81%,开放申购,开放赎回,
2016-07-11,0.9410,0.9410,1.07%,开放申购,开放赎回,
2016-07-08,0.9310,0.9310,-0.32%,开放申购,开放赎回,
2016-07-07,0.9340,0.9340,0.65%,开放申购,开放赎回,
2016-07-06,0.9280,0.9280,0.76%,开放申购,开放赎回,
2016-07-05,0.9210,0.9210,0.33%,开放申购,开放赎回,
2016-07-04,0.9180,0.9180,2.34%,开放申购,开放赎回,
2016-07-01,0.8970,0.8970,-0.55%,开放申购,开放赎回,
2016-06-30,0.9020,0.9020,-0.44%,开放申购,开放赎回,
2016-06-29,0.9060,0.9060,-0.11%,开放申购,开放赎回,
2016-06-28,0.9070,0.9070,0.22%,开放申购,开放赎回,
2016-06-27,0.9050,0.9050,2.96%,开放申购,开放赎回,
2016-06-24,0.8790,0.8790,-0.45%,开放申购,开放赎回,
2016-06-23,0.8830,0.8830,-1.01%,开放申购,开放赎回,
2016-06-22,0.8920,0.8920,1.94%,开放申购,开放赎回,
2016-06-21,0.8750,0.8750,-1.57%,开放申购,开放赎回,
2016-06-20,0.8890,0.8890,0.45%,开放申购,开放赎回,
2016-06-17,0.8850,0.8850,0.91%,开放申购,开放赎回,
2016-06-16,0.8770,0.8770,-0.90%,开放申购,开放赎回,
2016-06-15,0.8850,0.8850,3.51%,开放申购,开放赎回,
2016-06-14,0.8550,0.8550,1.06%,开放申购,开放赎回,
2016-06-13,0.8460,0.8460,-4.30%,开放申购,开放赎回,
2016-06-08,0.8840,0.8840,-0.90%,开放申购,开放赎回,
2016-06-07,0.8920,0.8920,-0.11%,开放申购,开放赎回,
2016-06-06,0.8930,0.8930,1.02%,开放申购,开放赎回,
2016-06-03,0.8840,0.8840,0.91%,开放申购,开放赎回,
2016-06-02,0.8760,0.8760,0.81%,开放申购,开放赎回,
2016-06-01,0.8690,0.8690,0.81%,开放申购,开放赎回,
2016-05-31,0.8620,0.8620,3.86%,开放申购,开放赎回,
2016-05-30,0.8300,0.8300,-0.24%,开放申购,开放赎回,
2016-05-27,0.8320,0.8320,-0.36%,开放申购,开放赎回,
2016-05-26,0.8350,0.8350,0.85%,开放申购,开放赎回,
2016-05-25,0.8280,0.8280,-0.84%,开放申购,开放赎回,
2016-05-24,0.8350,0.8350,-1.18%,开放申购,开放赎回,
2016-05-23,0.8450,0.8450,0.84%,开放申购,开放赎回,
2016-05-20,0.8380,0.8380,0.72%,开放申购,开放赎回,
2016-05-19,0.8320,0.8320,-0.24%,开放申购,开放赎回,
2016-05-18,0.8340,0.8340,-2.23%,开放申购,开放赎回,
2016-05-17,0.8530,0.8530,-0.47%,开放申购,开放赎回,
2016-05-16,0.8570,0.8570,0.94%,开放申购,开放赎回,
2016-05-13,0.8490,0.8490,-0.59%,开放申购,开放赎回,
2016-05-12,0.8540,0.8540,0.71%,开放申购,开放赎回,
2016-05-11,0.8480,0.8480,0.12%,开放申购,开放赎回,
2016-05-10,0.8470,0.8470,0.00%,开放申购,开放赎回,
2016-05-09,0.8470,0.8470,-2.98%,开放申购,开放赎回,
2016-05-06,0.8730,0.8730,-2.78%,开放申购,开放赎回,
2016-05-05,0.8980,0.8980,-0.11%,开放申购,开放赎回,
2016-05-04,0.8990,0.8990,-0.44%,开放申购,开放赎回,
2016-05-03,0.9030,0.9030,2.38%,开放申购,开放赎回,
2016-04-29,0.8820,0.8820,0.23%,开放申购,开放赎回,
2016-04-28,0.8800,0.8800,-0.11%,开放申购,开放赎回,
2016-04-27,0.8810,0.8810,-0.34%,开放申购,开放赎回,
2016-04-26,0.8840,0.8840,0.68%,开放申购,开放赎回,
2016-04-25,0.8780,0.8780,-0.11%,开放申购,开放赎回,
2016-04-22,0.8790,0.8790,0.00%,开放申购,开放赎回,
2016-04-21,0.8790,0.8790,0.00%,开放申购,开放赎回,
2016-04-20,0.8790,0.8790,-2.01%,开放申购,开放赎回,
2016-04-19,0.8970,0.8970,0.11%,开放申购,开放赎回,
2016-04-18,0.8960,0.8960,-0.89%,开放申购,开放赎回,
2016-04-15,0.9040,0.9040,0.00%,开放申购,开放赎回,
2016-04-14,0.9040,0.9040,0.78%,开放申购,开放赎回,
2016-04-13,0.8970,0.8970,1.47%,开放申购,开放赎回,
2016-04-12,0.8840,0.8840,-0.67%,开放申购,开放赎回,
2016-04-11,0.8900,0.8900,2.06%,开放申购,开放赎回,
2016-04-08,0.8720,0.8720,-0.68%,开放申购,开放赎回,
2016-04-07,0.8780,0.8780,-1.01%,开放申购,开放赎回,
2016-04-06,0.8870,0.8870,-0.11%,开放申购,开放赎回,
2016-04-05,0.8880,0.8880,1.83%,开放申购,开放赎回,
2016-04-01,0.8720,0.8720,-0.34%,开放申购,开放赎回,
2016-03-31,0.8750,0.8750,0.00%,开放申购,开放赎回,
2016-03-30,0.8750,0.8750,2.70%,开放申购,开放赎回,
2016-03-29,0.8520,0.8520,-1.27%,开放申购,开放赎回,
2016-03-28,0.8630,0.8630,-0.35%,开放申购,开放赎回,
2016-03-25,0.8660,0.8660,0.35%,开放申购,开放赎回,
2016-03-24,0.8630,0.8630,-1.48%,开放申购,开放赎回,
2016-03-23,0.8760,0.8760,0.00%,开放申购,开放赎回,
2016-03-22,0.8760,0.8760,-0.57%,开放申购,开放赎回,
2016-03-21,0.8810,0.8810,1.85%,开放申购,开放赎回,
2016-03-18,0.8650,0.8650,2.00%,开放申购,开放赎回,
2016-03-17,0.8480,0.8480,2.05%,开放申购,开放赎回,
2016-03-16,0.8310,0.8310,-0.48%,开放申购,开放赎回,
2016-03-15,0.8350,0.8350,-0.71%,开放申购,开放赎回,
2016-03-14,0.8410,0.8410,2.44%,开放申购,开放赎回,
2016-03-11,0.8210,0.8210,0.24%,开放申购,开放赎回,
2016-03-10,0.8190,0.8190,-0.97%,开放申购,开放赎回,
2016-03-09,0.8270,0.8270,-2.36%,开放申购,开放赎回,
2016-03-08,0.8470,0.8470,-0.59%,开放申购,开放赎回,
2016-03-07,0.8520,0.8520,0.83%,开放申购,开放赎回,
2016-03-04,0.8450,0.8450,0.00%,开放申购,开放赎回,
2016-03-03,0.8450,0.8450,0.00%,开放申购,开放赎回,
2016-03-02,0.8450,0.8450,4.06%,开放申购,开放赎回,
2016-03-01,0.8120,0.8120,1.25%,开放申购,开放赎回,
2016-02-29,0.8020,0.8020,-3.26%,开放申购,开放赎回,
