净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,0.7590,0.7590,0.40%,开放申购,开放赎回,
2016-07-19,0.7560,0.7560,-0.26%,开放申购,开放赎回,
2016-07-18,0.7580,0.7580,0.13%,开放申购,开放赎回,
2016-07-15,0.7570,0.7570,0.26%,开放申购,开放赎回,
2016-07-14,0.7550,0.7550,0.27%,开放申购,开放赎回,
2016-07-13,0.7530,0.7530,0.94%,开放申购,开放赎回,
2016-07-12,0.7460,0.7460,1.36%,开放申购,开放赎回,
2016-07-11,0.7360,0.7360,-0.94%,开放申购,开放赎回,
2016-07-08,0.7430,0.7430,-0.40%,开放申购,开放赎回,
2016-07-07,0.7460,0.7460,-0.27%,开放申购,开放赎回,
2016-07-06,0.7480,0.7480,0.40%,开放申购,开放赎回,
2016-07-05,0.7450,0.7450,0.00%,开放申购,开放赎回,
2016-07-04,0.7450,0.7450,1.92%,开放申购,开放赎回,
2016-07-01,0.7310,0.7310,0.14%,开放申购,开放赎回,
2016-06-30,0.7300,0.7300,0.27%,开放申购,开放赎回,
2016-06-29,0.7280,0.7280,0.28%,开放申购,开放赎回,
2016-06-28,0.7260,0.7260,0.97%,开放申购,开放赎回,
2016-06-27,0.7190,0.7190,2.71%,开放申购,开放赎回,
2016-06-24,0.7000,0.7000,-0.71%,开放申购,开放赎回,
2016-06-23,0.7050,0.7050,0.28%,开放申购,开放赎回,
2016-06-22,0.7030,0.7030,1.30%,开放申购,开放赎回,
2016-06-21,0.6940,0.6940,-1.00%,开放申购,开放赎回,
2016-06-20,0.7010,0.7010,0.43%,开放申购,开放赎回,
2016-06-17,0.6980,0.6980,0.43%,开放申购,开放赎回,
2016-06-16,0.6950,0.6950,-0.86%,开放申购,开放赎回,
2016-06-15,0.7010,0.7010,2.79%,开放申购,开放赎回,
2016-06-14,0.6820,0.6820,0.89%,开放申购,开放赎回,
2016-06-13,0.6760,0.6760,-3.57%,开放申购,开放赎回,
2016-06-08,0.7010,0.7010,-0.14%,开放申购,开放赎回,
2016-06-07,0.7020,0.7020,0.00%,开放申购,开放赎回,
2016-06-06,0.7020,0.7020,0.14%,开放申购,开放赎回,
2016-06-03,0.7010,0.7010,0.72%,开放申购,开放赎回,
2016-06-02,0.6960,0.6960,0.14%,开放申购,开放赎回,
2016-06-01,0.6950,0.6950,0.58%,开放申购,开放赎回,
2016-05-31,0.6910,0.6910,3.44%,开放申购,开放赎回,
2016-05-30,0.6680,0.6680,-0.45%,开放申购,开放赎回,
2016-05-27,0.6710,0.6710,-0.45%,开放申购,开放赎回,
2016-05-26,0.6740,0.6740,0.30%,开放申购,开放赎回,
2016-05-25,0.6720,0.6720,-0.44%,开放申购,开放赎回,
2016-05-24,0.6750,0.6750,-0.88%,开放申购,开放赎回,
2016-05-23,0.6810,0.6810,1.34%,开放申购,开放赎回,
2016-05-20,0.6720,0.6720,0.45%,开放申购,开放赎回,
2016-05-19,0.6690,0.6690,0.45%,开放申购,开放赎回,
2016-05-18,0.6660,0.6660,-2.06%,开放申购,开放赎回,
2016-05-17,0.6800,0.6800,0.15%,开放申购,开放赎回,
2016-05-16,0.6790,0.6790,1.65%,开放申购,开放赎回,
2016-05-13,0.6680,0.6680,-0.45%,开放申购,开放赎回,
2016-05-12,0.6710,0.6710,0.45%,开放申购,开放赎回,
2016-05-11,0.6680,0.6680,0.30%,开放申购,开放赎回,
2016-05-10,0.6660,0.6660,0.30%,开放申购,开放赎回,
2016-05-09,0.6640,0.6640,-2.64%,开放申购,开放赎回,
2016-05-06,0.6820,0.6820,-3.13%,开放申购,开放赎回,
2016-05-05,0.7040,0.7040,0.28%,开放申购,开放赎回,
2016-05-04,0.7020,0.7020,-0.43%,开放申购,开放赎回,
2016-05-03,0.7050,0.7050,2.32%,开放申购,开放赎回,
2016-04-29,0.6890,0.6890,0.44%,开放申购,开放赎回,
2016-04-28,0.6860,0.6860,-0.15%,开放申购,开放赎回,
2016-04-27,0.6870,0.6870,0.15%,开放申购,开放赎回,
2016-04-26,0.6860,0.6860,1.03%,开放申购,开放赎回,
2016-04-25,0.6790,0.6790,-0.29%,开放申购,开放赎回,
2016-04-22,0.6810,0.6810,0.59%,开放申购,开放赎回,
2016-04-21,0.6770,0.6770,-0.59%,开放申购,开放赎回,
2016-04-20,0.6810,0.6810,-2.58%,开放申购,开放赎回,
2016-04-19,0.6990,0.6990,0.00%,开放申购,开放赎回,
2016-04-18,0.6990,0.6990,-1.41%,开放申购,开放赎回,
2016-04-15,0.7090,0.7090,-0.14%,开放申购,开放赎回,
2016-04-14,0.7100,0.7100,0.42%,开放申购,开放赎回,
2016-04-13,0.7070,0.7070,1.00%,开放申购,开放赎回,
2016-04-12,0.7000,0.7000,-0.85%,开放申购,开放赎回,
2016-04-11,0.7060,0.7060,1.73%,开放申购,开放赎回,
2016-04-08,0.6940,0.6940,-0.57%,开放申购,开放赎回,
2016-04-07,0.6980,0.6980,-0.85%,开放申购,开放赎回,
2016-04-06,0.7040,0.7040,0.28%,开放申购,开放赎回,
2016-04-05,0.7020,0.7020,1.15%,开放申购,开放赎回,
2016-04-01,0.6940,0.6940,0.14%,开放申购,开放赎回,
2016-03-31,0.6930,0.6930,0.00%,开放申购,开放赎回,
2016-03-30,0.6930,0.6930,2.36%,开放申购,开放赎回,
2016-03-29,0.6770,0.6770,-1.17%,开放申购,开放赎回,
2016-03-28,0.6850,0.6850,-0.87%,开放申购,开放赎回,
2016-03-25,0.6910,0.6910,0.58%,开放申购,开放赎回,
2016-03-24,0.6870,0.6870,-0.72%,开放申购,开放赎回,
2016-03-23,0.6920,0.6920,0.14%,开放申购,开放赎回,
2016-03-22,0.6910,0.6910,-0.29%,开放申购,开放赎回,
2016-03-21,0.6930,0.6930,1.17%,开放申购,开放赎回,
2016-03-18,0.6850,0.6850,1.63%,开放申购,开放赎回,
2016-03-17,0.6740,0.6740,1.20%,开放申购,开放赎回,
2016-03-16,0.6660,0.6660,-0.30%,开放申购,开放赎回,
2016-03-15,0.6680,0.6680,-0.60%,开放申购,开放赎回,
2016-03-14,0.6720,0.6720,1.36%,开放申购,开放赎回,
2016-03-11,0.6630,0.6630,-0.15%,开放申购,开放赎回,
2016-03-10,0.6640,0.6640,-1.04%,开放申购,开放赎回,
2016-03-09,0.6710,0.6710,-1.32%,开放申购,开放赎回,
2016-03-08,0.6800,0.6800,-0.44%,开放申购,开放赎回,
2016-03-07,0.6830,0.6830,0.44%,开放申购,开放赎回,
2016-03-04,0.6800,0.6800,-0.73%,开放申购,开放赎回,
2016-03-03,0.6850,0.6850,-0.72%,开放申购,开放赎回,
2016-03-02,0.6900,0.6900,2.83%,开放申购,开放赎回,
2016-03-01,0.6710,0.6710,0.75%,开放申购,开放赎回,
2016-02-29,0.6660,0.6660,-2.63%,开放申购,开放赎回,
2016-02-26,0.6840,0.6840,0.89%,开放申购,开放赎回,
2016-02-25,0.6780,0.6780,-4.64%,开放申购,开放赎回,
2016-02-24,0.7110,0.7110,-0.97%,开放申购,开放赎回,
2016-02-23,0.7180,0.7180,-0.14%,开放申购,开放赎回,
2016-02-22,0.7190,0.7190,1.55%,开放申购,开放赎回,
2016-02-19,0.7080,0.7080,0.28%,开放申购,开放赎回,
2016-02-18,0.7060,0.7060,-0.28%,开放申购,开放赎回,
2016-02-17,0.7080,0.7080,0.57%,开放申购,开放赎回,
2016-02-16,0.7040,0.7040,2.18%,开放申购,开放赎回,
2016-02-15,0.6890,0.6890,-0.29%,开放申购,开放赎回,
2016-02-05,0.6910,0.6910,-0.43%,开放申购,开放赎回,
2016-02-04,0.6940,0.6940,0.73%,开放申购,开放赎回,
2016-02-03,0.6890,0.6890,0.00%,开放申购,开放赎回,
2016-02-02,0.6890,0.6890,1.62%,开放申购,开放赎回,
2016-02-01,0.6780,0.6780,-0.44%,开放申购,开放赎回,
2016-01-29,0.6810,0.6810,2.10%,开放申购,开放赎回,
2016-01-28,0.6670,0.6670,-2.06%,开放申购,开放赎回,
2016-01-27,0.6810,0.6810,-1.59%,开放申购,开放赎回,
2016-01-26,0.6920,0.6920,-5.46%,开放申购,开放赎回,
2016-01-25,0.7320,0.7320,0.83%,开放申购,开放赎回,
2016-01-22,0.7260,0.7260,1.26%,开放申购,开放赎回,
2016-01-21,0.7170,0.7170,-4.65%,开放申购,开放赎回,
2016-01-20,0.7520,0.7520,-1.05%,开放申购,开放赎回,
2016-01-19,0.7600,0.7600,3.83%,开放申购,开放赎回,
