净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,1.6210,1.6210,-1.64%,开放申购,开放赎回,
2016-07-19,1.6480,1.6480,-0.06%,开放申购,开放赎回,
2016-07-18,1.6490,1.6490,0.06%,开放申购,开放赎回,
2016-07-15,1.6480,1.6480,0.37%,开放申购,开放赎回,
2016-07-14,1.6420,1.6420,-1.08%,开放申购,开放赎回,
2016-07-13,1.6600,1.6600,0.48%,开放申购,开放赎回,
2016-07-12,1.6520,1.6520,-0.36%,开放申购,开放赎回,
2016-07-11,1.6580,1.6580,2.41%,开放申购,开放赎回,
2016-07-08,1.6190,1.6190,-0.67%,开放申购,开放赎回,
2016-07-07,1.6300,1.6300,1.37%,开放申购,开放赎回,
2016-07-06,1.6080,1.6080,2.75%,开放申购,开放赎回,
2016-07-05,1.5650,1.5650,0.19%,开放申购,开放赎回,
2016-07-04,1.5620,1.5620,1.36%,开放申购,开放赎回,
2016-07-01,1.5410,1.5410,1.05%,开放申购,开放赎回,
2016-06-30,1.5250,1.5250,-0.72%,开放申购,开放赎回,
2016-06-29,1.5360,1.5360,0.20%,开放申购,开放赎回,
2016-06-28,1.5330,1.5330,-0.13%,开放申购,开放赎回,
2016-06-27,1.5350,1.5350,-0.26%,开放申购,开放赎回,
2016-06-24,1.5390,1.5390,2.81%,开放申购,开放赎回,
2016-06-23,1.4970,1.4970,0.00%,开放申购,开放赎回,
2016-06-22,1.4970,1.4970,-0.13%,开放申购,开放赎回,
2016-06-21,1.4990,1.4990,-0.86%,开放申购,开放赎回,
2016-06-20,1.5120,1.5120,-0.40%,开放申购,开放赎回,
2016-06-17,1.5180,1.5180,-1.04%,开放申购,开放赎回,
2016-06-16,1.5340,1.5340,2.33%,开放申购,开放赎回,
2016-06-15,1.4990,1.4990,1.28%,开放申购,开放赎回,
2016-06-14,1.4800,1.4800,-0.34%,开放申购,开放赎回,
2016-06-13,1.4850,1.4850,1.57%,开放申购,开放赎回,
2016-06-08,1.4620,1.4620,0.27%,开放申购,开放赎回,
2016-06-07,1.4580,1.4580,-0.61%,开放申购,开放赎回,
2016-06-06,1.4670,1.4670,1.59%,开放申购,开放赎回,
2016-06-03,1.4440,1.4440,-0.28%,开放申购,开放赎回,
2016-06-02,1.4480,1.4480,0.14%,开放申购,开放赎回,
2016-06-01,1.4460,1.4460,0.07%,开放申购,开放赎回,
2016-05-31,1.4450,1.4450,0.77%,开放申购,开放赎回,
2016-05-30,1.4340,1.4340,-0.49%,开放申购,开放赎回,
2016-05-27,1.4410,1.4410,-0.14%,开放申购,开放赎回,
2016-05-26,1.4430,1.4430,0.35%,开放申购,开放赎回,
2016-05-25,1.4380,1.4380,-0.90%,开放申购,开放赎回,
2016-05-24,1.4510,1.4510,-0.34%,开放申购,开放赎回,
2016-05-23,1.4560,1.4560,0.00%,开放申购,开放赎回,
2016-05-20,1.4560,1.4560,-0.41%,开放申购,开放赎回,
2016-05-19,1.4620,1.4620,-0.20%,开放申购,开放赎回,
2016-05-18,1.4650,1.4650,-0.20%,开放申购,开放赎回,
2016-05-17,1.4680,1.4680,-0.61%,开放申购,开放赎回,
2016-05-16,1.4770,1.4770,0.96%,开放申购,开放赎回,
2016-05-13,1.4630,1.4630,0.76%,开放申购,开放赎回,
2016-05-12,1.4520,1.4520,-0.27%,开放申购,开放赎回,
2016-05-11,1.4560,1.4560,0.83%,开放申购,开放赎回,
2016-05-10,1.4440,1.4440,-0.28%,开放申购,开放赎回,
2016-05-09,1.4480,1.4480,-1.70%,开放申购,开放赎回,
2016-05-06,1.4730,1.4730,-0.94%,开放申购,开放赎回,
2016-05-05,1.4870,1.4870,0.07%,开放申购,开放赎回,
2016-05-04,1.4860,1.4860,-0.34%,开放申购,开放赎回,
2016-05-03,1.4910,1.4910,1.64%,开放申购,开放赎回,
2016-04-29,1.4670,1.4670,0.48%,开放申购,开放赎回,
2016-04-28,1.4600,1.4600,-0.41%,开放申购,开放赎回,
2016-04-27,1.4660,1.4660,0.96%,开放申购,开放赎回,
2016-04-26,1.4520,1.4520,-0.21%,开放申购,开放赎回,
2016-04-25,1.4550,1.4550,-0.61%,开放申购,开放赎回,
2016-04-22,1.4640,1.4640,-1.01%,开放申购,开放赎回,
2016-04-21,1.4790,1.4790,1.02%,开放申购,开放赎回,
2016-04-20,1.4640,1.4640,-0.75%,开放申购,开放赎回,
2016-04-19,1.4750,1.4750,0.48%,开放申购,开放赎回,
2016-04-18,1.4680,1.4680,-0.34%,开放申购,开放赎回,
2016-04-15,1.4730,1.4730,-0.20%,开放申购,开放赎回,
2016-04-14,1.4760,1.4760,-0.67%,开放申购,开放赎回,
2016-04-13,1.4860,1.4860,0.61%,开放申购,开放赎回,
2016-04-12,1.4770,1.4770,-0.07%,开放申购,开放赎回,
2016-04-11,1.4780,1.4780,1.03%,开放申购,开放赎回,
2016-04-08,1.4630,1.4630,1.18%,开放申购,开放赎回,
2016-04-07,1.4460,1.4460,-0.21%,开放申购,开放赎回,
2016-04-06,1.4490,1.4490,-0.14%,开放申购,开放赎回,
2016-04-05,1.4510,1.4510,0.48%,开放申购,开放赎回,
2016-04-01,1.4440,1.4440,-0.07%,开放申购,开放赎回,
2016-03-31,1.4450,1.4450,0.00%,开放申购,开放赎回,
2016-03-30,1.4450,1.4450,0.63%,开放申购,开放赎回,
2016-03-29,1.4360,1.4360,-0.35%,开放申购,开放赎回,
2016-03-28,1.4410,1.4410,0.14%,开放申购,开放赎回,
2016-03-25,1.4390,1.4390,-0.07%,开放申购,开放赎回,
2016-03-24,1.4400,1.4400,-1.10%,开放申购,开放赎回,
2016-03-23,1.4560,1.4560,-0.55%,开放申购,开放赎回,
2016-03-22,1.4640,1.4640,0.41%,开放申购,开放赎回,
2016-03-21,1.4580,1.4580,0.14%,开放申购,开放赎回,
2016-03-18,1.4560,1.4560,0.34%,开放申购,开放赎回,
2016-03-17,1.4510,1.4510,0.42%,开放申购,开放赎回,
2016-03-16,1.4450,1.4450,0.35%,开放申购,开放赎回,
2016-03-15,1.4400,1.4400,-1.10%,开放申购,开放赎回,
2016-03-14,1.4560,1.4560,0.69%,开放申购,开放赎回,
2016-03-11,1.4460,1.4460,0.42%,开放申购,开放赎回,
2016-03-10,1.4400,1.4400,-0.21%,开放申购,开放赎回,
2016-03-09,1.4430,1.4430,-1.37%,开放申购,开放赎回,
2016-03-08,1.4630,1.4630,-0.68%,开放申购,开放赎回,
2016-03-07,1.4730,1.4730,1.52%,开放申购,开放赎回,
2016-03-04,1.4510,1.4510,0.00%,开放申购,开放赎回,
2016-03-03,1.4510,1.4510,1.54%,开放申购,开放赎回,
2016-03-02,1.4290,1.4290,1.13%,开放申购,开放赎回,
2016-03-01,1.4130,1.4130,1.73%,开放申购,开放赎回,
2016-02-29,1.3890,1.3890,-0.79%,开放申购,开放赎回,
2016-02-26,1.4000,1.4000,0.79%,开放申购,开放赎回,
2016-02-25,1.3890,1.3890,-2.32%,开放申购,开放赎回,
2016-02-24,1.4220,1.4220,0.92%,开放申购,开放赎回,
2016-02-23,1.4090,1.4090,0.79%,开放申购,开放赎回,
2016-02-22,1.3980,1.3980,0.94%,开放申购,开放赎回,
2016-02-19,1.3850,1.3850,0.00%,开放申购,开放赎回,
2016-02-18,1.3850,1.3850,-0.22%,开放申购,开放赎回,
2016-02-17,1.3880,1.3880,0.29%,开放申购,开放赎回,
2016-02-16,1.3840,1.3840,1.54%,开放申购,开放赎回,
2016-02-15,1.3630,1.3630,0.00%,开放申购,开放赎回,
2016-02-05,1.3630,1.3630,0.07%,开放申购,开放赎回,
2016-02-04,1.3620,1.3620,0.15%,开放申购,开放赎回,
2016-02-03,1.3600,1.3600,0.00%,开放申购,开放赎回,
2016-02-02,1.3600,1.3600,0.67%,开放申购,开放赎回,
2016-02-01,1.3510,1.3510,-0.22%,开放申购,开放赎回,
2016-01-29,1.3540,1.3540,0.67%,开放申购,开放赎回,
2016-01-28,1.3450,1.3450,-0.59%,开放申购,开放赎回,
2016-01-27,1.3530,1.3530,-0.15%,开放申购,开放赎回,
2016-01-26,1.3550,1.3550,-1.53%,开放申购,开放赎回,
2016-01-25,1.3760,1.3760,0.36%,开放申购,开放赎回,
2016-01-22,1.3710,1.3710,0.37%,开放申购,开放赎回,
2016-01-21,1.3660,1.3660,-1.16%,开放申购,开放赎回,
2016-01-20,1.3820,1.3820,-0.93%,开放申购,开放赎回,
2016-01-19,1.3950,1.3950,1.23%,开放申购,开放赎回,
2016-01-18,1.3780,1.3780,-0.07%,开放申购,开放赎回,
2016-01-15,1.3790,1.3790,-1.43%,开放申购,开放赎回,
2016-01-14,1.3990,1.3990,0.72%,开放申购,开放赎回,
