净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,1.2217,1.2417,0.15%,开放申购,开放赎回,
2016-07-19,1.2199,1.2399,0.24%,开放申购,开放赎回,
2016-07-18,1.2170,1.2370,-0.23%,开放申购,开放赎回,
2016-07-15,1.2198,1.2398,-0.46%,开放申购,开放赎回,
2016-07-14,1.2254,1.2454,0.11%,开放申购,开放赎回,
2016-07-13,1.2240,1.2440,0.71%,开放申购,开放赎回,
2016-07-12,1.2154,1.2354,0.43%,开放申购,开放赎回,
2016-07-11,1.2102,1.2302,-0.51%,开放申购,开放赎回,
2016-07-08,1.2164,1.2364,-0.12%,开放申购,开放赎回,
2016-07-07,1.2179,1.2379,0.04%,开放申购,开放赎回,
2016-07-06,1.2174,1.2374,0.34%,开放申购,开放赎回,
2016-07-05,1.2133,1.2333,0.27%,开放申购,开放赎回,
2016-07-04,1.2100,1.2300,1.07%,开放申购,开放赎回,
2016-07-01,1.1972,1.2172,-0.14%,开放申购,开放赎回,
2016-06-30,1.1989,1.2189,-0.03%,开放申购,开放赎回,
2016-06-29,1.1993,1.2193,0.25%,开放申购,开放赎回,
2016-06-28,1.1963,1.2163,0.43%,开放申购,开放赎回,
2016-06-27,1.1912,1.2112,0.91%,开放申购,开放赎回,
2016-06-24,1.1804,1.2004,-0.52%,开放申购,开放赎回,
2016-06-23,1.1866,1.2066,0.49%,开放申购,开放赎回,
2016-06-22,1.1808,1.2008,0.58%,开放申购,开放赎回,
2016-06-21,1.1740,1.1940,-0.15%,开放申购,开放赎回,
2016-06-20,1.1758,1.1958,0.42%,开放申购,开放赎回,
2016-06-17,1.1709,1.1909,0.28%,开放申购,开放赎回,
2016-06-16,1.1676,1.1876,-0.02%,开放申购,开放赎回,
2016-06-15,1.1678,1.1878,1.03%,开放申购,开放赎回,
2016-06-14,1.1559,1.1759,0.02%,开放申购,开放赎回,
2016-06-13,1.1557,1.1757,-1.26%,开放申购,开放赎回,
2016-06-08,1.1705,1.1905,-0.11%,开放申购,开放赎回,
2016-06-07,1.1718,1.1918,-0.80%,开放申购,开放赎回,
2016-06-06,1.1812,1.2012,0.23%,开放申购,开放赎回,
2016-06-03,1.1785,1.1985,0.27%,开放申购,开放赎回,
2016-06-02,1.1753,1.1953,0.26%,开放申购,开放赎回,
2016-06-01,1.1723,1.1923,0.49%,开放申购,开放赎回,
2016-05-31,1.1666,1.1866,1.63%,开放申购,开放赎回,
2016-05-30,1.1479,1.1679,0.07%,开放申购,开放赎回,
2016-05-27,1.1471,1.1671,0.00%,开放申购,开放赎回,
2016-05-26,1.1471,1.1671,-0.52%,开放申购,开放赎回,
2016-05-25,1.1531,1.1731,-0.30%,开放申购,开放赎回,
2016-05-24,1.1566,1.1766,0.07%,开放申购,开放赎回,
2016-05-23,1.1558,1.1758,0.61%,开放申购,开放赎回,
2016-05-20,1.1488,1.1688,0.15%,开放申购,开放赎回,
2016-05-19,1.1471,1.1671,-0.52%,开放申购,开放赎回,
2016-05-18,1.1531,1.1731,-1.53%,开放申购,开放赎回,
2016-05-17,1.1710,1.1910,-0.09%,开放申购,开放赎回,
2016-05-16,1.1721,1.1921,0.97%,开放申购,开放赎回,
2016-05-13,1.1608,1.1808,-0.05%,开放申购,开放赎回,
2016-05-12,1.1614,1.1814,0.32%,开放申购,开放赎回,
2016-05-11,1.1577,1.1777,-0.34%,开放申购,开放赎回,
2016-05-10,1.1617,1.1817,0.32%,开放申购,开放赎回,
2016-05-09,1.1580,1.1780,-2.28%,开放申购,开放赎回,
2016-05-06,1.1850,1.2050,-1.59%,开放申购,开放赎回,
2016-05-05,1.2041,1.2241,0.11%,开放申购,开放赎回,
2016-05-04,1.2028,1.2228,0.07%,开放申购,开放赎回,
2016-05-03,1.2020,1.2220,1.64%,开放申购,开放赎回,
2016-04-29,1.1826,1.2026,-0.32%,开放申购,开放赎回,
2016-04-28,1.1864,1.2064,-0.38%,开放申购,开放赎回,
2016-04-27,1.1909,1.2109,-0.05%,开放申购,开放赎回,
2016-04-26,1.1915,1.2115,-0.05%,开放申购,开放赎回,
2016-04-25,1.1921,1.2121,-0.71%,开放申购,开放赎回,
2016-04-22,1.2006,1.2206,0.29%,开放申购,开放赎回,
2016-04-21,1.1971,1.2171,-0.93%,开放申购,开放赎回,
2016-04-20,1.2083,1.2283,-2.57%,开放申购,开放赎回,
2016-04-19,1.2402,1.2602,0.47%,开放申购,开放赎回,
2016-04-18,1.2344,1.2544,-0.87%,开放申购,开放赎回,
2016-04-15,1.2452,1.2652,-0.43%,开放申购,开放赎回,
2016-04-14,1.2506,1.2706,0.25%,开放申购,开放赎回,
2016-04-13,1.2475,1.2675,1.04%,开放申购,开放赎回,
2016-04-12,1.2347,1.2547,0.03%,开放申购,开放赎回,
2016-04-11,1.2343,1.2543,2.04%,开放申购,开放赎回,
2016-04-08,1.2096,1.2296,-0.95%,开放申购,开放赎回,
2016-04-07,1.2212,1.2412,-0.91%,开放申购,开放赎回,
2016-04-06,1.2324,1.2524,-0.24%,开放申购,开放赎回,
2016-04-05,1.2354,1.2554,1.74%,开放申购,开放赎回,
2016-04-01,1.2143,1.2343,0.19%,开放申购,开放赎回,
2016-03-31,1.2120,1.2320,-0.21%,开放申购,开放赎回,
2016-03-30,1.2145,1.2345,1.23%,开放申购,开放赎回,
2016-03-29,1.1998,1.2198,-0.92%,开放申购,开放赎回,
2016-03-28,1.2110,1.2310,-1.11%,开放申购,开放赎回,
2016-03-25,1.2246,1.2446,0.30%,开放申购,开放赎回,
2016-03-24,1.2209,1.2409,-0.65%,开放申购,开放赎回,
2016-03-23,1.2289,1.2489,0.13%,开放申购,开放赎回,
2016-03-22,1.2273,1.2473,-0.82%,开放申购,开放赎回,
2016-03-21,1.2375,1.2575,0.65%,开放申购,开放赎回,
2016-03-18,1.2295,1.2495,2.63%,开放申购,开放赎回,
2016-03-17,1.1980,1.2180,2.05%,开放申购,开放赎回,
2016-03-16,1.1739,1.1939,-0.59%,开放申购,开放赎回,
2016-03-15,1.1809,1.2009,-0.32%,开放申购,开放赎回,
2016-03-14,1.1847,1.2047,1.49%,开放申购,开放赎回,
2016-03-11,1.1673,1.1873,0.24%,开放申购,开放赎回,
2016-03-10,1.1645,1.1845,-0.71%,开放申购,开放赎回,
2016-03-09,1.1728,1.1928,-0.80%,开放申购,开放赎回,
2016-03-08,1.1823,1.2023,0.23%,开放申购,开放赎回,
2016-03-07,1.1796,1.1996,0.89%,开放申购,开放赎回,
2016-03-04,1.1692,1.1892,-1.62%,开放申购,开放赎回,
2016-03-03,1.1884,1.2084,-0.22%,开放申购,开放赎回,
2016-03-02,1.1910,1.2110,2.45%,开放申购,开放赎回,
2016-03-01,1.1625,1.1825,0.70%,开放申购,开放赎回,
2016-02-29,1.1544,1.1744,-2.78%,开放申购,开放赎回,
2016-02-26,1.1874,1.2074,-0.97%,开放申购,开放赎回,
