净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,1.1730,1.1730,0.09%,开放申购,开放赎回,
2016-07-19,1.1720,1.1720,0.26%,开放申购,开放赎回,
2016-07-18,1.1690,1.1690,-0.34%,开放申购,开放赎回,
2016-07-15,1.1730,1.1730,-0.09%,开放申购,开放赎回,
2016-07-14,1.1740,1.1740,0.09%,开放申购,开放赎回,
2016-07-13,1.1730,1.1730,0.69%,开放申购,开放赎回,
2016-07-12,1.1650,1.1650,1.30%,开放申购,开放赎回,
2016-07-11,1.1500,1.1500,-0.26%,开放申购,开放赎回,
2016-07-08,1.1530,1.1530,-0.17%,开放申购,开放赎回,
2016-07-07,1.1550,1.1550,0.26%,开放申购,开放赎回,
2016-07-06,1.1520,1.1520,0.44%,开放申购,开放赎回,
2016-07-05,1.1470,1.1470,0.61%,开放申购,开放赎回,
2016-07-04,1.1400,1.1400,1.79%,开放申购,开放赎回,
2016-07-01,1.1200,1.1200,-0.18%,开放申购,开放赎回,
2016-06-30,1.1220,1.1220,0.18%,开放申购,开放赎回,
2016-06-29,1.1200,1.1200,0.18%,开放申购,开放赎回,
2016-06-28,1.1180,1.1180,0.90%,开放申购,开放赎回,
2016-06-27,1.1080,1.1080,1.65%,开放申购,开放赎回,
2016-06-24,1.0900,1.0900,-0.91%,开放申购,开放赎回,
2016-06-23,1.1000,1.1000,-0.18%,开放申购,开放赎回,
2016-06-22,1.1020,1.1020,1.29%,开放申购,开放赎回,
2016-06-21,1.0880,1.0880,-0.64%,开放申购,开放赎回,
2016-06-20,1.0950,1.0950,0.00%,开放申购,开放赎回,
2016-06-17,1.0950,1.0950,0.74%,开放申购,开放赎回,
2016-06-16,1.0870,1.0870,-0.18%,开放申购,开放赎回,
2016-06-15,1.0890,1.0890,2.25%,开放申购,开放赎回,
2016-06-14,1.0650,1.0650,0.19%,开放申购,开放赎回,
2016-06-13,1.0630,1.0630,-3.28%,开放申购,开放赎回,
