净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,1.4190,1.4190,0.28%,开放申购,开放赎回,
2016-07-19,1.4150,1.4150,-0.77%,开放申购,开放赎回,
2016-07-18,1.4260,1.4260,0.00%,开放申购,开放赎回,
2016-07-15,1.4260,1.4260,0.35%,开放申购,开放赎回,
2016-07-14,1.4210,1.4210,-0.21%,开放申购,开放赎回,
2016-07-13,1.4240,1.4240,-0.14%,开放申购,开放赎回,
2016-07-12,1.4260,1.4260,0.99%,开放申购,开放赎回,
2016-07-11,1.4120,1.4120,-0.28%,开放申购,开放赎回,
2016-07-08,1.4160,1.4160,-0.77%,开放申购,开放赎回,
2016-07-07,1.4270,1.4270,0.71%,开放申购,开放赎回,
2016-07-06,1.4170,1.4170,1.29%,开放申购,开放赎回,
2016-07-05,1.3990,1.3990,0.21%,开放申购,开放赎回,
2016-07-04,1.3960,1.3960,1.38%,开放申购,开放赎回,
2016-07-01,1.3770,1.3770,-0.22%,开放申购,开放赎回,
2016-06-30,1.3800,1.3800,0.15%,开放申购,开放赎回,
2016-06-29,1.3780,1.3780,0.29%,开放申购,开放赎回,
2016-06-28,1.3740,1.3740,0.51%,开放申购,开放赎回,
2016-06-27,1.3670,1.3670,2.40%,开放申购,开放赎回,
2016-06-24,1.3350,1.3350,-0.96%,开放申购,开放赎回,
2016-06-23,1.3480,1.3480,-1.32%,开放申购,开放赎回,
2016-06-22,1.3660,1.3660,0.96%,开放申购,开放赎回,
2016-06-21,1.3530,1.3530,-0.88%,开放申购,开放赎回,
2016-06-20,1.3650,1.3650,0.44%,开放申购,开放赎回,
2016-06-17,1.3590,1.3590,0.59%,开放申购,开放赎回,
2016-06-16,1.3510,1.3510,-0.30%,开放申购,开放赎回,
2016-06-15,1.3550,1.3550,3.04%,开放申购,开放赎回,
2016-06-14,1.3150,1.3150,1.08%,开放申购,开放赎回,
2016-06-13,1.3010,1.3010,-3.49%,开放申购,开放赎回,
2016-06-08,1.3480,1.3480,-0.44%,开放申购,开放赎回,
2016-06-07,1.3540,1.3540,-0.15%,开放申购,开放赎回,
2016-06-06,1.3560,1.3560,0.82%,开放申购,开放赎回,
2016-06-03,1.3450,1.3450,0.37%,开放申购,开放赎回,
2016-06-02,1.3400,1.3400,-0.07%,开放申购,开放赎回,
2016-06-01,1.3410,1.3410,0.37%,开放申购,开放赎回,
2016-05-31,1.3360,1.3360,2.77%,开放申购,开放赎回,
2016-05-30,1.3000,1.3000,-0.69%,开放申购,开放赎回,
2016-05-27,1.3090,1.3090,0.15%,开放申购,开放赎回,
2016-05-26,1.3070,1.3070,0.38%,开放申购,开放赎回,
2016-05-25,1.3020,1.3020,-0.99%,开放申购,开放赎回,
2016-05-24,1.3150,1.3150,-0.53%,开放申购,开放赎回,
2016-05-23,1.3220,1.3220,1.30%,开放申购,开放赎回,
2016-05-20,1.3050,1.3050,0.08%,开放申购,开放赎回,
2016-05-19,1.3040,1.3040,0.46%,开放申购,开放赎回,
2016-05-18,1.2980,1.2980,-2.04%,开放申购,开放赎回,
2016-05-17,1.3250,1.3250,-0.60%,开放申购,开放赎回,
2016-05-16,1.3330,1.3330,2.30%,开放申购,开放赎回,
2016-05-13,1.3030,1.3030,-0.15%,开放申购,开放赎回,
2016-05-12,1.3050,1.3050,0.77%,开放申购,开放赎回,
2016-05-11,1.2950,1.2950,0.94%,开放申购,开放赎回,
2016-05-10,1.2830,1.2830,0.31%,开放申购,开放赎回,
2016-05-09,1.2790,1.2790,-2.66%,开放申购,开放赎回,
2016-05-06,1.3140,1.3140,-2.88%,开放申购,开放赎回,
2016-05-05,1.3530,1.3530,0.59%,开放申购,开放赎回,
2016-05-04,1.3450,1.3450,-0.22%,开放申购,开放赎回,
2016-05-03,1.3480,1.3480,2.67%,开放申购,开放赎回,
2016-04-29,1.3130,1.3130,0.84%,开放申购,开放赎回,
2016-04-28,1.3020,1.3020,-0.23%,开放申购,开放赎回,
2016-04-27,1.3050,1.3050,-0.15%,开放申购,开放赎回,
2016-04-26,1.3070,1.3070,1.00%,开放申购,开放赎回,
2016-04-25,1.2940,1.2940,-0.61%,开放申购,开放赎回,
2016-04-22,1.3020,1.3020,0.31%,开放申购,开放赎回,
2016-04-21,1.2980,1.2980,-0.38%,开放申购,开放赎回,
2016-04-20,1.3030,1.3030,-3.48%,开放申购,开放赎回,
2016-04-19,1.3500,1.3500,0.45%,开放申购,开放赎回,
2016-04-18,1.3440,1.3440,-1.03%,开放申购,开放赎回,
2016-04-15,1.3580,1.3580,-0.51%,开放申购,开放赎回,
2016-04-14,1.3650,1.3650,1.19%,开放申购,开放赎回,
2016-04-13,1.3490,1.3490,1.20%,开放申购,开放赎回,
2016-04-12,1.3330,1.3330,-0.67%,开放申购,开放赎回,
2016-04-11,1.3420,1.3420,1.67%,开放申购,开放赎回,
2016-04-08,1.3200,1.3200,-0.83%,开放申购,开放赎回,
2016-04-07,1.3310,1.3310,0.53%,开放申购,开放赎回,
2016-04-06,1.3240,1.3240,0.00%,开放申购,开放赎回,
2016-04-05,1.3240,1.3240,2.24%,开放申购,开放赎回,
2016-04-01,1.2950,1.2950,-0.69%,开放申购,开放赎回,
2016-03-31,1.3040,1.3040,0.62%,开放申购,开放赎回,
2016-03-30,1.2960,1.2960,3.18%,开放申购,开放赎回,
2016-03-29,1.2560,1.2560,-2.03%,开放申购,开放赎回,
2016-03-28,1.2820,1.2820,-0.70%,开放申购,开放赎回,
2016-03-25,1.2910,1.2910,1.02%,开放申购,开放赎回,
2016-03-24,1.2780,1.2780,-1.62%,开放申购,开放赎回,
2016-03-23,1.2990,1.2990,0.31%,开放申购,开放赎回,
2016-03-22,1.2950,1.2950,-0.23%,开放申购,开放赎回,
2016-03-21,1.2980,1.2980,1.49%,开放申购,开放赎回,
2016-03-18,1.2790,1.2790,3.23%,开放申购,开放赎回,
2016-03-17,1.2390,1.2390,3.77%,开放申购,开放赎回,
2016-03-16,1.1940,1.1940,-1.16%,开放申购,开放赎回,
2016-03-15,1.2080,1.2080,-0.90%,开放申购,开放赎回,
2016-03-14,1.2190,1.2190,2.87%,开放申购,开放赎回,
2016-03-11,1.1850,1.1850,-0.25%,开放申购,开放赎回,
2016-03-10,1.1880,1.1880,-1.41%,开放申购,开放赎回,
2016-03-09,1.2050,1.2050,-2.82%,开放申购,开放赎回,
2016-03-08,1.2400,1.2400,0.00%,开放申购,开放赎回,
2016-03-07,1.2400,1.2400,1.97%,开放申购,开放赎回,
2016-03-04,1.2160,1.2160,-2.01%,开放申购,开放赎回,
2016-03-03,1.2410,1.2410,-0.48%,开放申购,开放赎回,
2016-03-02,1.2470,1.2470,4.35%,开放申购,开放赎回,
2016-03-01,1.1950,1.1950,1.44%,开放申购,开放赎回,
2016-02-29,1.1780,1.1780,-3.44%,开放申购,开放赎回,
2016-02-26,1.2200,1.2200,1.08%,开放申购,开放赎回,
2016-02-25,1.2070,1.2070,-6.51%,开放申购,开放赎回,
2016-02-24,1.2910,1.2910,-0.23%,开放申购,开放赎回,
2016-02-23,1.2940,1.2940,-0.77%,开放申购,开放赎回,
2016-02-22,1.3040,1.3040,1.40%,开放申购,开放赎回,
2016-02-19,1.2860,1.2860,0.23%,开放申购,开放赎回,
2016-02-18,1.2830,1.2830,-0.77%,开放申购,开放赎回,
2016-02-17,1.2930,1.2930,0.00%,开放申购,开放赎回,
2016-02-16,1.2930,1.2930,2.95%,开放申购,开放赎回,
2016-02-15,1.2560,1.2560,1.13%,开放申购,开放赎回,
2016-02-05,1.2420,1.2420,-0.48%,开放申购,开放赎回,
2016-02-04,1.2480,1.2480,1.71%,开放申购,开放赎回,
2016-02-03,1.2270,1.2270,0.82%,开放申购,开放赎回,
2016-02-02,1.2170,1.2170,3.57%,开放申购,开放赎回,
2016-02-01,1.1750,1.1750,-0.17%,开放申购,开放赎回,
2016-01-29,1.1770,1.1770,3.52%,开放申购,开放赎回,
2016-01-28,1.1370,1.1370,-4.21%,开放申购,开放赎回,
2016-01-27,1.1870,1.1870,-0.84%,开放申购,开放赎回,
2016-01-26,1.1970,1.1970,-5.82%,开放申购,开放赎回,
2016-01-25,1.2710,1.2710,0.79%,开放申购,开放赎回,
2016-01-22,1.2610,1.2610,1.20%,开放申购,开放赎回,
2016-01-21,1.2460,1.2460,-4.45%,开放申购,开放赎回,
2016-01-20,1.3040,1.3040,-1.44%,开放申购,开放赎回,
2016-01-19,1.3230,1.3230,3.12%,开放申购,开放赎回,
2016-01-18,1.2830,1.2830,1.91%,开放申购,开放赎回,
2016-01-15,1.2590,1.2590,-2.40%,开放申购,开放赎回,
2016-01-14,1.2900,1.2900,4.28%,开放申购,开放赎回,
2016-01-13,1.2370,1.2370,-3.51%,开放申购,开放赎回,
2016-01-12,1.2820,1.2820,0.16%,开放申购,开放赎回,
2016-01-11,1.2800,1.2800,-6.57%,开放申购,开放赎回,
2016-01-08,1.3700,1.3700,-0.36%,开放申购,开放赎回,
2016-01-07,1.3750,1.3750,-8.33%,开放申购,开放赎回,
2016-01-06,1.5000,1.5000,2.18%,开放申购,开放赎回,
2016-01-05,1.4680,1.4680,-2.33%,开放申购,开放赎回,
2016-01-04,1.5030,1.5030,-7.85%,开放申购,开放赎回,
2015-12-31,1.6310,1.6310,-2.57%,开放申购,开放赎回,
2015-12-30,1.6740,1.6740,1.82%,开放申购,开放赎回,
2015-12-29,1.6440,1.6440,0.80%,开放申购,开放赎回,
2015-12-28,1.6310,1.6310,-1.63%,开放申购,开放赎回,
2015-12-25,1.6580,1.6580,0.61%,开放申购,开放赎回,
2015-12-24,1.6480,1.6480,-0.36%,开放申购,开放赎回,
2015-12-23,1.6540,1.6540,-1.96%,开放申购,开放赎回,
2015-12-22,1.6870,1.6870,0.60%,开放申购,开放赎回,
2015-12-21,1.6770,1.6770,0.30%,开放申购,开放赎回,
2015-12-18,1.6720,1.6720,-0.42%,开放申购,开放赎回,
2015-12-17,1.6790,1.6790,2.63%,开放申购,开放赎回,
2015-12-16,1.6360,1.6360,0.80%,开放申购,开放赎回,
2015-12-15,1.6230,1.6230,2.01%,开放申购,开放赎回,
2015-12-14,1.5910,1.5910,0.95%,开放申购,开放赎回,
2015-12-11,1.5760,1.5760,-0.51%,开放申购,开放赎回,
2015-12-10,1.5840,1.5840,0.13%,开放申购,开放赎回,
2015-12-09,1.5820,1.5820,-1.06%,开放申购,开放赎回,
2015-12-08,1.5990,1.5990,-1.11%,开放申购,开放赎回,
2015-12-07,1.6170,1.6170,1.44%,开放申购,开放赎回,
2015-12-04,1.5940,1.5940,-0.06%,开放申购,开放赎回,
