净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,1.2130,1.2130,0.08%,开放申购,开放赎回,
2016-07-19,1.2120,1.2120,0.25%,开放申购,开放赎回,
2016-07-18,1.2090,1.2090,-0.25%,开放申购,开放赎回,
2016-07-15,1.2120,1.2120,-0.16%,开放申购,开放赎回,
2016-07-14,1.2140,1.2140,-0.41%,开放申购,开放赎回,
2016-07-13,1.2190,1.2190,0.66%,开放申购,开放赎回,
2016-07-12,1.2110,1.2110,0.83%,开放申购,开放赎回,
2016-07-11,1.2010,1.2010,-0.66%,开放申购,开放赎回,
2016-07-08,1.2090,1.2090,-0.66%,开放申购,开放赎回,
2016-07-07,1.2170,1.2170,0.33%,开放申购,开放赎回,
2016-07-06,1.2130,1.2130,0.17%,开放申购,开放赎回,
2016-07-05,1.2110,1.2110,0.17%,开放申购,开放赎回,
2016-07-04,1.2090,1.2090,2.03%,开放申购,开放赎回,
2016-07-01,1.1850,1.1850,-0.08%,开放申购,开放赎回,
2016-06-30,1.1860,1.1860,-0.17%,开放申购,开放赎回,
2016-06-29,1.1880,1.1880,-0.25%,开放申购,开放赎回,
2016-06-28,1.1910,1.1910,1.10%,开放申购,开放赎回,
2016-06-27,1.1780,1.1780,1.90%,开放申购,开放赎回,
2016-06-24,1.1560,1.1560,-0.77%,开放申购,开放赎回,
2016-06-23,1.1650,1.1650,-0.34%,开放申购,开放赎回,
2016-06-22,1.1690,1.1690,1.30%,开放申购,开放赎回,
2016-06-21,1.1540,1.1540,-0.26%,开放申购,开放赎回,
2016-06-20,1.1570,1.1570,0.09%,开放申购,开放赎回,
2016-06-17,1.1560,1.1560,0.35%,开放申购,开放赎回,
2016-06-16,1.1520,1.1520,-0.43%,开放申购,开放赎回,
2016-06-15,1.1570,1.1570,2.57%,开放申购,开放赎回,
2016-06-14,1.1280,1.1280,0.18%,开放申购,开放赎回,
2016-06-13,1.1260,1.1260,-3.92%,开放申购,开放赎回,
2016-06-08,1.1720,1.1720,0.17%,开放申购,开放赎回,
2016-06-07,1.1700,1.1700,0.00%,开放申购,开放赎回,
2016-06-06,1.1700,1.1700,0.52%,开放申购,开放赎回,
2016-06-03,1.1640,1.1640,0.61%,开放申购,开放赎回,
2016-06-02,1.1570,1.1570,0.52%,开放申购,开放赎回,
2016-06-01,1.1510,1.1510,0.88%,开放申购,开放赎回,
2016-05-31,1.1410,1.1410,3.16%,开放申购,开放赎回,
2016-05-30,1.1060,1.1060,-0.54%,开放申购,开放赎回,
2016-05-27,1.1120,1.1120,0.18%,开放申购,开放赎回,
2016-05-26,1.1100,1.1100,0.18%,开放申购,开放赎回,
2016-05-25,1.1080,1.1080,-0.36%,开放申购,开放赎回,
2016-05-24,1.1120,1.1120,-0.54%,开放申购,开放赎回,
2016-05-23,1.1180,1.1180,1.36%,开放申购,开放赎回,
2016-05-20,1.1030,1.1030,0.46%,开放申购,开放赎回,
2016-05-19,1.0980,1.0980,0.64%,开放申购,开放赎回,
2016-05-18,1.0910,1.0910,-2.06%,开放申购,开放赎回,
2016-05-17,1.1140,1.1140,0.18%,开放申购,开放赎回,
2016-05-16,1.1120,1.1120,1.28%,开放申购,开放赎回,
2016-05-13,1.0980,1.0980,-0.45%,开放申购,开放赎回,
2016-05-12,1.1030,1.1030,0.36%,开放申购,开放赎回,
2016-05-11,1.0990,1.0990,-0.45%,开放申购,开放赎回,
2016-05-10,1.1040,1.1040,0.09%,开放申购,开放赎回,
2016-05-09,1.1030,1.1030,-2.90%,开放申购,开放赎回,
2016-05-06,1.1360,1.1360,-2.74%,开放申购,开放赎回,
2016-05-05,1.1680,1.1680,0.52%,开放申购,开放赎回,
2016-05-04,1.1620,1.1620,0.61%,开放申购,开放赎回,
2016-05-03,1.1550,1.1550,2.85%,开放申购,开放赎回,
2016-04-29,1.1230,1.1230,-0.18%,开放申购,开放赎回,
2016-04-28,1.1250,1.1250,-0.44%,开放申购,开放赎回,
2016-04-27,1.1300,1.1300,-0.62%,开放申购,开放赎回,
2016-04-26,1.1370,1.1370,1.16%,开放申购,开放赎回,
2016-04-25,1.1240,1.1240,0.45%,开放申购,开放赎回,
2016-04-22,1.1190,1.1190,1.27%,开放申购,开放赎回,
2016-04-21,1.1050,1.1050,-1.43%,开放申购,开放赎回,
2016-04-20,1.1210,1.1210,-4.51%,开放申购,开放赎回,
2016-04-19,1.1740,1.1740,0.26%,开放申购,开放赎回,
2016-04-18,1.1710,1.1710,-1.68%,开放申购,开放赎回,
