净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,1.1110,1.1110,-0.27%,开放申购,开放赎回,
2016-07-19,1.1140,1.1140,0.36%,开放申购,开放赎回,
2016-07-18,1.1100,1.1100,-0.72%,开放申购,开放赎回,
2016-07-15,1.1180,1.1180,-0.89%,开放申购,开放赎回,
2016-07-14,1.1280,1.1280,0.09%,开放申购,开放赎回,
2016-07-13,1.1270,1.1270,0.00%,开放申购,开放赎回,
2016-07-12,1.1270,1.1270,0.27%,开放申购,开放赎回,
2016-07-11,1.1240,1.1240,0.18%,开放申购,开放赎回,
2016-07-08,1.1220,1.1220,0.45%,开放申购,开放赎回,
2016-07-07,1.1170,1.1170,-0.89%,开放申购,开放赎回,
2016-07-06,1.1270,1.1270,0.45%,开放申购,开放赎回,
2016-07-05,1.1220,1.1220,0.54%,开放申购,开放赎回,
2016-07-04,1.1160,1.1160,2.95%,开放申购,开放赎回,
2016-07-01,1.0840,1.0840,0.18%,开放申购,开放赎回,
2016-06-30,1.0820,1.0820,-0.73%,开放申购,开放赎回,
2016-06-29,1.0900,1.0900,-0.18%,开放申购,开放赎回,
2016-06-28,1.0920,1.0920,0.28%,开放申购,开放赎回,
2016-06-27,1.0890,1.0890,2.93%,开放申购,开放赎回,
2016-06-24,1.0580,1.0580,0.28%,开放申购,开放赎回,
2016-06-23,1.0550,1.0550,-0.09%,开放申购,开放赎回,
2016-06-22,1.0560,1.0560,0.67%,开放申购,开放赎回,
2016-06-21,1.0490,1.0490,-0.57%,开放申购,开放赎回,
2016-06-20,1.0550,1.0550,0.67%,开放申购,开放赎回,
2016-06-17,1.0480,1.0480,0.29%,开放申购,开放赎回,
2016-06-16,1.0450,1.0450,0.19%,开放申购,开放赎回,
2016-06-15,1.0430,1.0430,1.66%,开放申购,开放赎回,
2016-06-14,1.0260,1.0260,0.10%,开放申购,开放赎回,
2016-06-13,1.0250,1.0250,-1.44%,开放申购,开放赎回,
2016-06-08,1.0400,1.0400,0.39%,开放申购,开放赎回,
2016-06-07,1.0360,1.0360,0.29%,开放申购,开放赎回,
2016-06-06,1.0330,1.0330,-0.10%,开放申购,开放赎回,
2016-06-03,1.0340,1.0340,0.00%,开放申购,开放赎回,
2016-06-02,1.0340,1.0340,0.49%,开放申购,开放赎回,
2016-06-01,1.0290,1.0290,0.59%,开放申购,开放赎回,
2016-05-31,1.0230,1.0230,1.39%,开放申购,开放赎回,
2016-05-30,1.0090,1.0090,0.00%,开放申购,开放赎回,
2016-05-27,1.0090,1.0090,-0.10%,开放申购,开放赎回,
2016-05-26,1.0100,1.0100,0.20%,开放申购,开放赎回,
2016-05-25,1.0080,1.0080,-0.40%,开放申购,开放赎回,
2016-05-24,1.0120,1.0120,-0.20%,开放申购,开放赎回,
2016-05-23,1.0140,1.0140,1.00%,开放申购,开放赎回,
2016-05-20,1.0040,1.0040,0.80%,开放申购,开放赎回,
2016-05-19,0.9960,0.9960,0.40%,开放申购,开放赎回,
2016-05-18,0.9920,0.9920,-0.50%,开放申购,开放赎回,
2016-05-17,0.9970,0.9970,-0.40%,开放申购,开放赎回,
2016-05-16,1.0010,1.0010,0.70%,开放申购,开放赎回,
2016-05-13,0.9940,0.9940,0.00%,开放申购,开放赎回,
2016-05-12,0.9940,0.9940,0.20%,开放申购,开放赎回,
2016-05-11,0.9920,0.9920,-0.40%,开放申购,开放赎回,
2016-05-10,0.9960,0.9960,-0.10%,开放申购,开放赎回,
2016-05-09,0.9970,0.9970,-1.38%,开放申购,开放赎回,
2016-05-06,1.0110,1.0110,-1.08%,开放申购,开放赎回,
2016-05-05,1.0220,1.0220,0.39%,开放申购,开放赎回,
2016-05-04,1.0180,1.0180,0.20%,开放申购,开放赎回,
2016-05-03,1.0160,1.0160,0.89%,开放申购,开放赎回,
2016-04-29,1.0070,1.0070,0.30%,开放申购,开放赎回,
2016-04-28,1.0040,1.0040,-0.10%,开放申购,开放赎回,
2016-04-27,1.0050,1.0050,0.00%,开放申购,开放赎回,
2016-04-26,1.0050,1.0050,0.20%,开放申购,开放赎回,
2016-04-25,1.0030,1.0030,0.30%,开放申购,开放赎回,
2016-04-22,1.0000,1.0000,0.00%,开放申购,开放赎回,
2016-04-21,1.0000,1.0000,,封闭期,封闭期,
2016-04-15,1.0000,1.0000,,封闭期,封闭期,
2016-04-08,1.0000,1.0000,,封闭期,封闭期,
2016-04-01,1.0000,1.0000,,封闭期,封闭期,
2016-03-25,1.0000,1.0000,,封闭期,封闭期,
2016-03-22,1.0000,1.0000,,封闭期,封闭期,
