净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-19,0.9712,0.9712,-0.39%,开放申购,开放赎回,
2016-07-18,0.9750,0.9750,-1.11%,开放申购,开放赎回,
2016-07-15,0.9859,0.9859,0.65%,开放申购,开放赎回,
2016-07-14,0.9795,0.9795,1.15%,开放申购,开放赎回,
2016-07-13,0.9684,0.9684,-3.30%,开放申购,开放赎回,
2016-07-12,1.0014,1.0014,3.66%,开放申购,开放赎回,
2016-07-11,0.9660,0.9660,-0.70%,开放申购,开放赎回,
2016-07-08,0.9728,0.9728,-0.31%,开放申购,开放赎回,
2016-07-07,0.9758,0.9758,-2.51%,开放申购,开放赎回,
2016-07-06,1.0009,1.0009,0.53%,开放申购,开放赎回,
2016-07-05,0.9956,0.9956,,开放申购,开放赎回,
2016-06-30,0.9998,0.9998,0.00%,开放申购,开放赎回,
2016-06-29,0.9998,0.9998,-0.02%,开放申购,开放赎回,
2016-06-28,1.0000,1.0000,0.00%,开放申购,开放赎回,
2016-06-27,1.0000,1.0000,-0.01%,封闭期,封闭期,
2016-06-24,1.0001,1.0001,0.01%,封闭期,封闭期,
2016-06-23,1.0000,1.0000,,封闭期,封闭期,
2016-06-20,0.9999,0.9999,,封闭期,封闭期,
2016-06-16,1.0000,1.0000,0.00%,封闭期,封闭期,
2016-06-15,1.0000,1.0000,,封闭期,封闭期,
