净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,1.0100,1.0100,0.40%,开放申购,开放赎回,
2016-07-19,1.0060,1.0060,0.50%,开放申购,开放赎回,
2016-07-18,1.0010,1.0010,-1.09%,开放申购,开放赎回,
2016-07-15,1.0120,1.0120,-0.78%,开放申购,开放赎回,
2016-07-14,1.0200,1.0200,0.20%,开放申购,开放赎回,
2016-07-13,1.0180,1.0180,0.59%,开放申购,开放赎回,
2016-07-12,1.0120,1.0120,-0.39%,开放申购,开放赎回,
2016-07-11,1.0160,1.0160,-1.55%,开放申购,开放赎回,
2016-07-08,1.0320,1.0320,-0.96%,开放申购,开放赎回,
2016-07-07,1.0420,1.0420,0.97%,开放申购,开放赎回,
2016-07-06,1.0320,1.0320,0.00%,开放申购,开放赎回,
2016-07-05,1.0320,1.0320,0.58%,开放申购,开放赎回,
2016-07-04,1.0260,1.0260,1.48%,开放申购,开放赎回,
2016-07-01,1.0110,1.0110,-0.88%,开放申购,开放赎回,
2016-06-30,1.0200,1.0200,-1.16%,开放申购,开放赎回,
2016-06-29,1.0320,1.0320,-0.19%,开放申购,开放赎回,
2016-06-28,1.0340,1.0340,-0.19%,开放申购,开放赎回,
2016-06-27,1.0360,1.0360,2.68%,开放申购,开放赎回,
2016-06-24,1.0090,1.0090,2.02%,开放申购,开放赎回,
2016-06-23,0.9890,0.9890,-0.70%,开放申购,开放赎回,
2016-06-22,0.9960,0.9960,1.94%,开放申购,开放赎回,
2016-06-21,0.9770,0.9770,-1.01%,开放申购,开放赎回,
2016-06-20,0.9870,0.9870,1.44%,开放申购,开放赎回,
2016-06-17,0.9730,0.9730,0.31%,开放申购,开放赎回,
2016-06-16,0.9700,0.9700,0.10%,开放申购,开放赎回,
2016-06-15,0.9690,0.9690,3.53%,开放申购,开放赎回,
2016-06-14,0.9360,0.9360,-0.21%,开放申购,开放赎回,
2016-06-13,0.9380,0.9380,-4.29%,开放申购,开放赎回,
2016-06-08,0.9800,0.9800,-0.51%,开放申购,开放赎回,
2016-06-07,0.9850,0.9850,0.00%,开放申购,开放赎回,
2016-06-06,0.9850,0.9850,1.65%,开放申购,开放赎回,
2016-06-03,0.9690,0.9690,-0.92%,开放申购,开放赎回,
2016-06-02,0.9780,0.9780,0.93%,开放申购,开放赎回,
2016-06-01,0.9690,0.9690,1.47%,开放申购,开放赎回,
2016-05-31,0.9550,0.9550,3.92%,开放申购,开放赎回,
2016-05-30,0.9190,0.9190,-1.39%,开放申购,开放赎回,
