净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,1.0263,1.0378,0.07%,开放申购,开放赎回,
2016-07-19,1.0256,1.0371,0.16%,开放申购,开放赎回,
2016-07-18,1.0240,1.0355,-0.10%,开放申购,开放赎回,
2016-07-15,1.0250,1.0365,0.04%,开放申购,开放赎回,
2016-07-14,1.0246,1.0361,-0.02%,开放申购,开放赎回,
2016-07-13,1.0248,1.0363,-0.06%,开放申购,开放赎回,
2016-07-12,1.0254,1.0369,0.17%,开放申购,开放赎回,
2016-07-11,1.0237,1.0352,0.05%,开放申购,开放赎回,
2016-07-08,1.0232,1.0347,0.18%,开放申购,开放赎回,
2016-07-07,1.0214,1.0329,0.05%,开放申购,开放赎回,
2016-07-06,1.0209,1.0324,-0.01%,开放申购,开放赎回,
2016-07-05,1.0210,1.0325,0.08%,开放申购,开放赎回,
2016-07-04,1.0202,1.0317,0.25%,开放申购,开放赎回,
2016-07-01,1.0177,1.0292,0.03%,开放申购,开放赎回,
2016-06-30,1.0174,1.0289,0.08%,开放申购,开放赎回,
2016-06-29,1.0166,1.0281,0.12%,开放申购,开放赎回,
2016-06-28,1.0154,1.0269,0.10%,开放申购,开放赎回,
2016-06-27,1.0144,1.0259,0.41%,开放申购,开放赎回,
2016-06-24,1.0103,1.0218,0.04%,开放申购,开放赎回,
2016-06-23,1.0099,1.0214,0.03%,开放申购,开放赎回,
2016-06-22,1.0096,1.0211,0.18%,开放申购,开放赎回,
2016-06-21,1.0078,1.0193,0.06%,开放申购,开放赎回,
2016-06-20,1.0072,1.0187,0.01%,开放申购,开放赎回,
2016-06-17,1.0071,1.0186,0.09%,开放申购,开放赎回,
2016-06-16,1.0062,1.0177,0.15%,开放申购,开放赎回,
2016-06-15,1.0047,1.0162,0.17%,开放申购,开放赎回,
2016-06-14,1.0030,1.0145,0.20%,开放申购,开放赎回,
2016-06-13,1.0010,1.0125,-0.21%,开放申购,开放赎回,
2016-06-08,1.0031,1.0146,-0.05%,开放申购,开放赎回,
2016-06-07,1.0036,1.0151,0.01%,开放申购,开放赎回,
2016-06-06,1.0035,1.0150,-0.05%,开放申购,开放赎回,
2016-06-03,1.0040,1.0155,0.01%,开放申购,开放赎回,
2016-06-02,1.0039,1.0154,-0.03%,开放申购,开放赎回,
2016-06-01,1.0042,1.0157,-0.05%,开放申购,开放赎回,
2016-05-31,1.0047,1.0162,0.41%,开放申购,开放赎回,
2016-05-30,1.0006,1.0121,-0.03%,开放申购,开放赎回,
2016-05-27,1.0009,1.0124,-0.03%,开放申购,开放赎回,
2016-05-26,1.0012,1.0127,0.02%,开放申购,开放赎回,
2016-05-25,1.0010,1.0125,-0.02%,开放申购,开放赎回,
2016-05-24,1.0012,1.0127,0.03%,开放申购,开放赎回,
2016-05-23,1.0009,1.0124,0.06%,开放申购,开放赎回,
2016-05-20,1.0003,1.0118,0.04%,开放申购,开放赎回,
2016-05-19,0.9999,1.0114,-0.22%,开放申购,开放赎回,
2016-05-18,1.0021,1.0136,-0.14%,开放申购,开放赎回,
2016-05-17,1.0035,1.0150,0.05%,开放申购,开放赎回,
2016-05-16,1.0030,1.0145,-0.07%,开放申购,开放赎回,
2016-05-13,1.0037,1.0152,0.02%,开放申购,开放赎回,
2016-05-12,1.0035,1.0150,0.12%,开放申购,开放赎回,
2016-05-11,1.0023,1.0138,-0.04%,开放申购,开放赎回,
2016-05-10,1.0027,1.0142,0.24%,开放申购,开放赎回,
2016-05-09,1.0003,1.0118,-0.05%,开放申购,开放赎回,
2016-05-06,1.0008,1.0123,-0.26%,开放申购,开放赎回,
2016-05-05,1.0034,1.0149,0.00%,开放申购,开放赎回,
2016-05-04,1.0034,1.0149,-0.05%,开放申购,开放赎回,
2016-05-03,1.0039,1.0154,0.34%,开放申购,开放赎回,
2016-04-29,1.0005,1.0120,0.04%,开放申购,开放赎回,
2016-04-28,1.0001,1.0116,-0.01%,开放申购,开放赎回,
2016-04-27,1.0002,1.0117,0.13%,开放申购,开放赎回,
2016-04-26,0.9989,1.0104,-0.03%,开放申购,开放赎回,
2016-04-25,0.9992,1.0107,-0.44%,开放申购,开放赎回,
2016-04-22,1.0036,1.0151,-0.05%,开放申购,开放赎回,
2016-04-21,1.0041,1.0156,-0.30%,开放申购,开放赎回,
2016-04-20,1.0071,1.0186,-0.49%,开放申购,开放赎回,
2016-04-19,1.0121,1.0236,-0.04%,开放申购,开放赎回,
2016-04-18,1.0125,1.0240,-0.16%,开放申购,开放赎回,
2016-04-15,1.0141,1.0256,0.02%,开放申购,开放赎回,
2016-04-14,1.0139,1.0254,-0.15%,开放申购,开放赎回,
2016-04-13,1.0154,1.0269,-0.03%,开放申购,开放赎回,
2016-04-12,1.0157,1.0272,-0.13%,开放申购,开放赎回,
2016-04-11,1.0170,1.0285,0.19%,开放申购,开放赎回,
2016-04-08,1.0151,1.0266,-0.19%,开放申购,开放赎回,
2016-04-07,1.0170,1.0285,-0.22%,开放申购,开放赎回,
2016-04-06,1.0192,1.0307,-0.03%,开放申购,开放赎回,
2016-04-05,1.0195,1.0310,0.20%,开放申购,开放赎回,
2016-04-01,1.0175,1.0290,0.13%,开放申购,开放赎回,
2016-03-31,1.0162,1.0277,0.00%,开放申购,开放赎回,
2016-03-30,1.0162,1.0277,0.25%,开放申购,开放赎回,
2016-03-29,1.0137,1.0252,-0.17%,开放申购,开放赎回,
2016-03-28,1.0154,1.0269,-0.34%,开放申购,开放赎回,
2016-03-25,1.0189,1.0304,0.09%,开放申购,开放赎回,
2016-03-24,1.0180,1.0295,-0.04%,开放申购,开放赎回,
2016-03-23,1.0184,1.0299,0.02%,开放申购,开放赎回,
2016-03-22,1.0182,1.0297,-0.02%,开放申购,开放赎回,
2016-03-21,1.0184,1.0299,-0.19%,开放申购,开放赎回,
2016-03-18,1.0203,1.0318,0.24%,开放申购,开放赎回,
2016-03-17,1.0179,1.0294,0.14%,开放申购,开放赎回,
2016-03-16,1.0165,1.0280,0.09%,开放申购,开放赎回,
2016-03-15,1.0156,1.0271,-0.03%,开放申购,开放赎回,
2016-03-14,1.0159,1.0274,0.07%,开放申购,开放赎回,
2016-03-11,1.0152,1.0267,0.14%,开放申购,开放赎回,
2016-03-10,1.0138,1.0253,0.21%,开放申购,开放赎回,
2016-03-09,1.0117,1.0232,0.08%,开放申购,开放赎回,
2016-03-08,1.0109,1.0224,0.02%,开放申购,开放赎回,
2016-03-07,1.0107,1.0222,0.00%,开放申购,开放赎回,
2016-03-04,1.0107,1.0222,0.07%,开放申购,开放赎回,
2016-03-03,1.0100,1.0215,0.02%,开放申购,开放赎回,
2016-03-02,1.0098,1.0213,0.30%,开放申购,开放赎回,
2016-03-01,1.0068,1.0183,0.07%,开放申购,开放赎回,
2016-02-29,1.0061,1.0176,-0.11%,开放申购,开放赎回,
2016-02-26,1.0072,1.0187,0.11%,开放申购,开放赎回,
2016-02-25,1.0061,1.0176,-0.38%,开放申购,开放赎回,
2016-02-24,1.0099,1.0214,-0.08%,开放申购,开放赎回,
2016-02-23,1.0107,1.0222,-0.16%,开放申购,开放赎回,
2016-02-22,1.0123,1.0238,0.26%,开放申购,开放赎回,
2016-02-19,1.0097,1.0212,-0.03%,开放申购,开放赎回,
2016-02-18,1.0100,1.0215,0.01%,开放申购,开放赎回,
2016-02-17,1.0099,1.0214,0.06%,开放申购,开放赎回,
2016-02-16,1.0093,1.0208,0.09%,开放申购,开放赎回,
2016-02-15,1.0084,1.0199,0.23%,开放申购,开放赎回,
2016-02-05,1.0061,1.0176,0.03%,开放申购,开放赎回,
2016-02-04,1.0058,1.0173,0.17%,开放申购,开放赎回,
2016-02-03,1.0041,1.0156,-0.10%,开放申购,开放赎回,
2016-02-02,1.0051,1.0166,-0.05%,开放申购,开放赎回,
2016-02-01,1.0056,1.0171,0.06%,开放申购,开放赎回,
2016-01-29,1.0050,1.0165,0.10%,开放申购,开放赎回,
2016-01-28,1.0040,1.0155,0.05%,开放申购,开放赎回,
2016-01-27,1.0035,1.0150,-0.14%,开放申购,开放赎回,
2016-01-26,1.0049,1.0164,-0.31%,开放申购,开放赎回,
2016-01-25,1.0080,1.0195,-0.08%,开放申购,开放赎回,
2016-01-22,1.0088,1.0203,0.10%,开放申购,开放赎回,
2016-01-21,1.0078,1.0193,-0.04%,开放申购,开放赎回,
2016-01-20,1.0082,1.0197,-0.07%,开放申购,开放赎回,
2016-01-19,1.0089,1.0204,0.05%,开放申购,开放赎回,
2016-01-18,1.0084,1.0199,0.08%,开放申购,开放赎回,
2016-01-15,1.0076,1.0191,-0.11%,开放申购,开放赎回,
2016-01-14,1.0087,1.0202,0.11%,开放申购,开放赎回,
2016-01-13,1.0076,1.0191,-0.07%,开放申购,开放赎回,
2016-01-12,1.0083,1.0198,0.02%,开放申购,开放赎回,
2016-01-11,1.0081,1.0196,-0.19%,开放申购,开放赎回,
2016-01-08,1.0100,1.0215,0.15%,开放申购,开放赎回,
2016-01-07,1.0085,1.0200,-0.24%,开放申购,开放赎回,
2016-01-06,1.0109,1.0224,0.05%,开放申购,开放赎回,
2016-01-05,1.0104,1.0219,0.06%,开放申购,开放赎回,
2016-01-04,1.0098,1.0213,-0.24%,开放申购,开放赎回,
2015-12-31,1.0122,1.0237,0.01%,开放申购,开放赎回,
2015-12-30,1.0121,1.0236,0.08%,开放申购,开放赎回,
2015-12-29,1.0113,1.0228,0.04%,开放申购,开放赎回,
2015-12-28,1.0109,1.0224,-0.11%,开放申购,开放赎回,
2015-12-25,1.0120,1.0235,0.02%,开放申购,开放赎回,
2015-12-24,1.0118,1.0233,0.04%,开放申购,开放赎回,
2015-12-23,1.0114,1.0229,0.01%,开放申购,开放赎回,
2015-12-22,1.0113,1.0228,0.02%,开放申购,开放赎回,
2015-12-21,1.0111,1.0226,0.08%,开放申购,开放赎回,
2015-12-18,1.0103,1.0218,0.00%,开放申购,开放赎回,
2015-12-17,1.0103,1.0218,0.08%,开放申购,开放赎回,
2015-12-16,1.0095,1.0210,0.01%,开放申购,开放赎回,
2015-12-15,1.0094,1.0209,0.04%,开放申购,开放赎回,
2015-12-14,1.0090,1.0205,0.03%,开放申购,开放赎回,
2015-12-11,1.0087,1.0202,0.03%,开放申购,开放赎回,
2015-12-10,1.0084,1.0199,-0.01%,开放申购,开放赎回,
2015-12-09,1.0085,1.0200,-0.01%,开放申购,开放赎回,
2015-12-08,1.0086,1.0201,-0.06%,开放申购,开放赎回,
2015-12-07,1.0092,1.0207,0.05%,开放申购,开放赎回,
2015-12-04,1.0087,1.0202,-0.05%,开放申购,开放赎回,
2015-12-03,1.0092,1.0207,0.04%,开放申购,开放赎回,
2015-12-02,1.0088,1.0203,0.07%,开放申购,开放赎回,
2015-12-01,1.0081,1.0196,0.03%,开放申购,开放赎回,
2015-11-30,1.0078,1.0193,0.00%,开放申购,开放赎回,
2015-11-27,1.0078,1.0193,-0.23%,开放申购,开放赎回,
2015-11-26,1.0101,1.0216,0.06%,开放申购,开放赎回,
2015-11-25,1.0095,1.0210,0.25%,开放申购,开放赎回,
2015-11-24,1.0070,1.0185,0.20%,开放申购,开放赎回,
2015-11-23,1.0050,1.0165,-0.19%,开放申购,开放赎回,
2015-11-20,1.0069,1.0184,-0.04%,开放申购,开放赎回,
2015-11-19,1.0073,1.0188,0.17%,开放申购,开放赎回,
2015-11-18,1.0056,1.0171,-0.31%,开放申购,开放赎回,
2015-11-17,1.0087,1.0202,,开放申购,开放赎回,每份派现金0.0115元
2015-11-13,1.0208,1.0208,,封闭期,封闭期,
2015-11-06,1.0229,1.0229,,封闭期,封闭期,
2015-10-30,1.0244,1.0244,,封闭期,封闭期,
2015-10-23,1.0195,1.0195,,封闭期,封闭期,
2015-10-16,1.0155,1.0155,,封闭期,封闭期,
2015-10-09,1.0057,1.0057,,封闭期,封闭期,
2015-09-30,0.9998,0.9998,,封闭期,封闭期,
2015-09-25,1.0007,1.0007,,封闭期,封闭期,
2015-09-18,0.9995,0.9995,,封闭期,封闭期,
2015-09-11,1.0015,1.0015,,封闭期,封闭期,
2015-09-02,1.0015,1.0015,,封闭期,封闭期,
2015-08-28,1.0001,1.0001,,封闭期,封闭期,
