净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,1.0110,1.0190,0.10%,开放申购,开放赎回,
2016-07-19,1.0100,1.0180,0.10%,开放申购,开放赎回,
2016-07-18,1.0090,1.0170,-1.27%,开放申购,开放赎回,
2016-07-15,1.0220,1.0300,0.29%,开放申购,开放赎回,
2016-07-14,1.0190,1.0270,-1.45%,开放申购,开放赎回,
2016-07-13,1.0340,1.0420,1.08%,开放申购,开放赎回,
2016-07-12,1.0230,1.0310,1.69%,开放申购,开放赎回,
2016-07-11,1.0060,1.0140,-0.20%,开放申购,开放赎回,
2016-07-08,1.0080,1.0160,-0.40%,开放申购,开放赎回,
2016-07-07,1.0120,1.0200,0.00%,开放申购,开放赎回,
2016-07-06,1.0120,1.0200,-0.20%,开放申购,开放赎回,
2016-07-05,1.0140,1.0220,1.50%,开放申购,开放赎回,
2016-07-04,0.9990,1.0070,1.94%,开放申购,开放赎回,
2016-07-01,0.9800,0.9880,-0.41%,开放申购,开放赎回,
2016-06-30,0.9840,0.9920,-0.71%,开放申购,开放赎回,
2016-06-29,0.9910,0.9990,2.38%,开放申购,开放赎回,
2016-06-28,0.9680,0.9760,0.52%,开放申购,开放赎回,
2016-06-27,0.9630,0.9710,1.26%,开放申购,开放赎回,
2016-06-24,0.9510,0.9590,-1.45%,开放申购,开放赎回,
2016-06-23,0.9650,0.9730,-0.41%,开放申购,开放赎回,
2016-06-22,0.9690,0.9770,0.52%,开放申购,开放赎回,
2016-06-21,0.9640,0.9720,-0.41%,开放申购,开放赎回,
2016-06-20,0.9680,0.9760,0.10%,开放申购,开放赎回,
2016-06-17,0.9670,0.9750,0.31%,开放申购,开放赎回,
2016-06-16,0.9640,0.9720,-0.62%,开放申购,开放赎回,
2016-06-15,0.9700,0.9780,1.68%,开放申购,开放赎回,
2016-06-14,0.9540,0.9620,-0.10%,开放申购,开放赎回,
2016-06-13,0.9550,0.9630,-3.44%,开放申购,开放赎回,
2016-06-08,0.9890,0.9970,-0.40%,开放申购,开放赎回,
2016-06-07,0.9930,1.0010,-0.20%,开放申购,开放赎回,
2016-06-06,0.9950,1.0030,-0.20%,开放申购,开放赎回,
2016-06-03,0.9970,1.0050,0.20%,开放申购,开放赎回,
2016-06-02,0.9950,1.0030,0.20%,开放申购,开放赎回,
2016-06-01,0.9930,1.0010,-0.20%,开放申购,开放赎回,
2016-05-31,0.9950,1.0030,3.22%,开放申购,开放赎回,
2016-05-30,0.9640,0.9720,0.52%,开放申购,开放赎回,
2016-05-27,0.9590,0.9670,-0.21%,开放申购,开放赎回,
2016-05-26,0.9610,0.9690,0.00%,开放申购,开放赎回,
2016-05-25,0.9610,0.9690,-0.21%,开放申购,开放赎回,
2016-05-24,0.9630,0.9710,-1.03%,开放申购,开放赎回,
2016-05-23,0.9730,0.9810,0.52%,开放申购,开放赎回,
2016-05-20,0.9680,0.9760,0.52%,开放申购,开放赎回,
2016-05-19,0.9630,0.9710,-0.52%,开放申购,开放赎回,
2016-05-18,0.9680,0.9760,-1.73%,开放申购,开放赎回,
2016-05-17,0.9850,0.9930,-0.30%,开放申购,开放赎回,
2016-05-16,0.9880,0.9960,0.71%,开放申购,开放赎回,
2016-05-13,0.9810,0.9890,-0.41%,开放申购,开放赎回,
2016-05-12,0.9850,0.9930,-0.81%,开放申购,开放赎回,
2016-05-11,0.9930,1.0010,0.71%,开放申购,开放赎回,
2016-05-10,0.9860,0.9940,0.41%,开放申购,开放赎回,
