净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,1.3450,1.3450,-0.44%,开放申购,开放赎回,
2016-07-19,1.3510,1.3510,-0.22%,开放申购,开放赎回,
2016-07-18,1.3540,1.3540,-0.37%,开放申购,开放赎回,
2016-07-15,1.3590,1.3590,0.30%,开放申购,开放赎回,
2016-07-14,1.3550,1.3550,0.30%,开放申购,开放赎回,
2016-07-13,1.3510,1.3510,0.67%,开放申购,开放赎回,
2016-07-12,1.3420,1.3420,0.60%,开放申购,开放赎回,
2016-07-11,1.3340,1.3340,-1.04%,开放申购,开放赎回,
2016-07-08,1.3480,1.3480,-0.52%,开放申购,开放赎回,
2016-07-07,1.3550,1.3550,0.74%,开放申购,开放赎回,
2016-07-06,1.3450,1.3450,1.05%,开放申购,开放赎回,
2016-07-05,1.3310,1.3310,0.00%,开放申购,开放赎回,
2016-07-04,1.3310,1.3310,1.76%,开放申购,开放赎回,
2016-07-01,1.3080,1.3080,-0.15%,开放申购,开放赎回,
2016-06-30,1.3100,1.3100,0.38%,开放申购,开放赎回,
2016-06-29,1.3050,1.3050,0.00%,开放申购,开放赎回,
2016-06-28,1.3050,1.3050,1.32%,开放申购,开放赎回,
2016-06-27,1.2880,1.2880,1.74%,开放申购,开放赎回,
2016-06-24,1.2660,1.2660,-0.16%,开放申购,开放赎回,
2016-06-23,1.2680,1.2680,0.08%,开放申购,开放赎回,
2016-06-22,1.2670,1.2670,1.12%,开放申购,开放赎回,
2016-06-21,1.2530,1.2530,-1.49%,开放申购,开放赎回,
2016-06-20,1.2720,1.2720,-0.55%,开放申购,开放赎回,
2016-06-17,1.2790,1.2790,0.71%,开放申购,开放赎回,
2016-06-16,1.2700,1.2700,0.24%,开放申购,开放赎回,
2016-06-15,1.2670,1.2670,4.11%,开放申购,开放赎回,
2016-06-14,1.2170,1.2170,0.75%,开放申购,开放赎回,
2016-06-13,1.2080,1.2080,-3.90%,开放申购,开放赎回,
2016-06-08,1.2570,1.2570,-0.87%,开放申购,开放赎回,
2016-06-07,1.2680,1.2680,0.48%,开放申购,开放赎回,
2016-06-06,1.2620,1.2620,0.40%,开放申购,开放赎回,
2016-06-03,1.2570,1.2570,-0.16%,开放申购,开放赎回,
2016-06-02,1.2590,1.2590,1.12%,开放申购,开放赎回,
2016-06-01,1.2450,1.2450,1.06%,开放申购,开放赎回,
2016-05-31,1.2320,1.2320,3.88%,开放申购,开放赎回,
2016-05-30,1.1860,1.1860,-0.34%,开放申购,开放赎回,
2016-05-27,1.1900,1.1900,-0.58%,开放申购,开放赎回,
2016-05-26,1.1970,1.1970,0.84%,开放申购,开放赎回,
2016-05-25,1.1870,1.1870,-0.59%,开放申购,开放赎回,
2016-05-24,1.1940,1.1940,-0.91%,开放申购,开放赎回,
2016-05-23,1.2050,1.2050,2.12%,开放申购,开放赎回,
2016-05-20,1.1800,1.1800,0.94%,开放申购,开放赎回,
2016-05-19,1.1690,1.1690,0.34%,开放申购,开放赎回,
