净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-15,1.0171,1.0171,,暂停申购,暂停赎回,
2016-07-08,1.0163,1.0163,,暂停申购,暂停赎回,
2016-07-01,1.0127,1.0127,0.17%,暂停申购,暂停赎回,
2016-06-30,1.0110,1.0110,,暂停申购,暂停赎回,
2016-06-24,1.0083,1.0083,,暂停申购,暂停赎回,
2016-06-17,1.0065,1.0065,,暂停申购,暂停赎回,
2016-06-08,1.0041,1.0041,,暂停申购,暂停赎回,
2016-06-03,1.0034,1.0034,,暂停申购,暂停赎回,
2016-05-27,1.0035,1.0035,,暂停申购,暂停赎回,
2016-05-20,1.0032,1.0032,,暂停申购,暂停赎回,
2016-05-13,1.0031,1.0031,,暂停申购,暂停赎回,
2016-05-06,1.0014,1.0014,,暂停申购,暂停赎回,
2016-04-29,1.0007,1.0007,,暂停申购,暂停赎回,
2016-04-22,1.0001,1.0001,,暂停申购,暂停赎回,
2016-04-15,1.0004,1.0004,,暂停申购,暂停赎回,
2016-04-08,1.0003,1.0003,,暂停申购,暂停赎回,
2016-04-01,1.0001,1.0001,,暂停申购,暂停赎回,
2016-03-28,1.0000,1.0000,,封闭期,封闭期,
