净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,1.0630,1.0630,-0.28%,开放申购,开放赎回,
2016-07-19,1.0660,1.0660,0.28%,开放申购,开放赎回,
2016-07-18,1.0630,1.0630,-0.65%,开放申购,开放赎回,
2016-07-15,1.0700,1.0700,-0.37%,开放申购,开放赎回,
2016-07-14,1.0740,1.0740,0.00%,开放申购,开放赎回,
2016-07-13,1.0740,1.0740,1.32%,开放申购,开放赎回,
2016-07-12,1.0600,1.0600,1.34%,开放申购,开放赎回,
2016-07-11,1.0460,1.0460,-0.76%,开放申购,开放赎回,
2016-07-08,1.0540,1.0540,0.10%,开放申购,开放赎回,
2016-07-07,1.0530,1.0530,0.00%,开放申购,开放赎回,
2016-07-06,1.0530,1.0530,0.10%,开放申购,开放赎回,
2016-07-05,1.0520,1.0520,-0.28%,开放申购,开放赎回,
2016-07-04,1.0550,1.0550,1.54%,开放申购,开放赎回,
2016-07-01,1.0390,1.0390,-0.57%,开放申购,开放赎回,
2016-06-30,1.0450,1.0450,0.29%,开放申购,开放赎回,
2016-06-29,1.0420,1.0420,-0.10%,开放申购,开放赎回,
2016-06-28,1.0430,1.0430,1.07%,开放申购,开放赎回,
2016-06-27,1.0320,1.0320,2.28%,开放申购,开放赎回,
2016-06-24,1.0090,1.0090,-0.98%,开放申购,开放赎回,
2016-06-23,1.0190,1.0190,-0.68%,开放申购,开放赎回,
2016-06-22,1.0260,1.0260,1.58%,开放申购,开放赎回,
2016-06-21,1.0100,1.0100,-0.88%,开放申购,开放赎回,
2016-06-20,1.0190,1.0190,0.20%,开放申购,开放赎回,
2016-06-17,1.0170,1.0170,0.59%,开放申购,开放赎回,
2016-06-16,1.0110,1.0110,-0.79%,开放申购,开放赎回,
2016-06-15,1.0190,1.0190,2.83%,开放申购,开放赎回,
2016-06-14,0.9910,0.9910,0.20%,开放申购,开放赎回,
2016-06-13,0.9890,0.9890,-4.81%,开放申购,开放赎回,
2016-06-08,1.0390,1.0390,-0.29%,开放申购,开放赎回,
2016-06-07,1.0420,1.0420,-0.29%,开放申购,开放赎回,
2016-06-06,1.0450,1.0450,0.29%,开放申购,开放赎回,
2016-06-03,1.0420,1.0420,1.17%,开放申购,开放赎回,
2016-06-02,1.0300,1.0300,0.49%,开放申购,开放赎回,
2016-06-01,1.0250,1.0250,0.49%,开放申购,开放赎回,
2016-05-31,1.0200,1.0200,4.29%,开放申购,开放赎回,
2016-05-30,0.9780,0.9780,-0.41%,开放申购,开放赎回,
2016-05-27,0.9820,0.9820,-0.41%,开放申购,开放赎回,
2016-05-26,0.9860,0.9860,0.51%,开放申购,开放赎回,
2016-05-25,0.9810,0.9810,-0.20%,开放申购,开放赎回,
2016-05-24,0.9830,0.9830,-0.91%,开放申购,开放赎回,
2016-05-23,0.9920,0.9920,0.92%,开放申购,开放赎回,
2016-05-20,0.9830,0.9830,0.82%,开放申购,开放赎回,
2016-05-19,0.9750,0.9750,0.31%,开放申购,开放赎回,
2016-05-18,0.9720,0.9720,-2.02%,开放申购,开放赎回,
2016-05-17,0.9920,0.9920,0.40%,开放申购,开放赎回,
2016-05-16,0.9880,0.9880,1.54%,开放申购,开放赎回,
2016-05-13,0.9730,0.9730,-0.51%,开放申购,开放赎回,
2016-05-12,0.9780,0.9780,0.41%,开放申购,开放赎回,
2016-05-11,0.9740,0.9740,-0.51%,开放申购,开放赎回,
2016-05-10,0.9790,0.9790,0.10%,开放申购,开放赎回,
2016-05-09,0.9780,0.9780,-2.69%,开放申购,开放赎回,
2016-05-06,1.0050,1.0050,-3.74%,开放申购,开放赎回,
2016-05-05,1.0440,1.0440,0.38%,开放申购,开放赎回,
2016-05-04,1.0400,1.0400,-0.29%,开放申购,开放赎回,
2016-05-03,1.0430,1.0430,3.06%,开放申购,开放赎回,
2016-04-29,1.0120,1.0120,-0.20%,开放申购,开放赎回,
2016-04-28,1.0140,1.0140,0.10%,开放申购,开放赎回,
2016-04-27,1.0130,1.0130,-0.30%,开放申购,开放赎回,
2016-04-26,1.0160,1.0160,0.99%,开放申购,开放赎回,
2016-04-25,1.0060,1.0060,-0.20%,开放申购,开放赎回,
2016-04-22,1.0080,1.0080,1.10%,开放申购,开放赎回,
2016-04-21,0.9970,0.9970,-1.19%,开放申购,开放赎回,
2016-04-20,1.0090,1.0090,-4.18%,开放申购,开放赎回,
2016-04-19,1.0530,1.0530,0.38%,开放申购,开放赎回,
2016-04-18,1.0490,1.0490,-1.78%,开放申购,开放赎回,
2016-04-15,1.0680,1.0680,-0.37%,开放申购,开放赎回,
2016-04-14,1.0720,1.0720,1.23%,开放申购,开放赎回,
2016-04-13,1.0590,1.0590,1.15%,开放申购,开放赎回,
2016-04-12,1.0470,1.0470,-0.76%,开放申购,开放赎回,
2016-04-11,1.0550,1.0550,1.64%,开放申购,开放赎回,
2016-04-08,1.0380,1.0380,-0.57%,开放申购,开放赎回,
2016-04-07,1.0440,1.0440,-1.88%,开放申购,开放赎回,
2016-04-06,1.0640,1.0640,0.57%,开放申购,开放赎回,
2016-04-05,1.0580,1.0580,2.72%,开放申购,开放赎回,
2016-04-01,1.0300,1.0300,-0.96%,开放申购,开放赎回,
2016-03-31,1.0400,1.0400,-0.19%,开放申购,开放赎回,
2016-03-30,1.0420,1.0420,3.89%,开放申购,开放赎回,
2016-03-29,1.0030,1.0030,-1.67%,开放申购,开放赎回,
2016-03-28,1.0200,1.0200,-0.87%,开放申购,开放赎回,
2016-03-25,1.0290,1.0290,0.29%,开放申购,开放赎回,
2016-03-24,1.0260,1.0260,-1.82%,开放申购,开放赎回,
2016-03-23,1.0450,1.0450,1.65%,开放申购,开放赎回,
2016-03-22,1.0280,1.0280,-0.10%,开放申购,开放赎回,
2016-03-21,1.0290,1.0290,2.29%,开放申购,开放赎回,
2016-03-18,1.0060,1.0060,3.50%,开放申购,开放赎回,
2016-03-17,0.9720,0.9720,3.74%,开放申购,开放赎回,
2016-03-16,0.9370,0.9370,-1.06%,开放申购,开放赎回,
2016-03-15,0.9470,0.9470,-0.94%,开放申购,开放赎回,
2016-03-14,0.9560,0.9560,3.46%,开放申购,开放赎回,
2016-03-11,0.9240,0.9240,0.00%,开放申购,开放赎回,
2016-03-10,0.9240,0.9240,-1.39%,开放申购,开放赎回,
2016-03-09,0.9370,0.9370,-1.68%,开放申购,开放赎回,
2016-03-08,0.9530,0.9530,0.85%,开放申购,开放赎回,
2016-03-07,0.9450,0.9450,1.61%,开放申购,开放赎回,
2016-03-04,0.9300,0.9300,-2.72%,开放申购,开放赎回,
2016-03-03,0.9560,0.9560,-0.10%,开放申购,开放赎回,
2016-03-02,0.9570,0.9570,4.02%,开放申购,开放赎回,
2016-03-01,0.9200,0.9200,2.56%,开放申购,开放赎回,
2016-02-29,0.8970,0.8970,-5.18%,开放申购,开放赎回,
2016-02-26,0.9460,0.9460,-0.11%,开放申购,开放赎回,
2016-02-25,0.9470,0.9470,-7.16%,开放申购,开放赎回,
2016-02-24,1.0200,1.0200,0.00%,开放申购,开放赎回,
2016-02-23,1.0200,1.0200,-0.87%,开放申购,开放赎回,
2016-02-22,1.0290,1.0290,1.58%,开放申购,开放赎回,
2016-02-19,1.0130,1.0130,0.50%,开放申购,开放赎回,
2016-02-18,1.0080,1.0080,-0.69%,开放申购,开放赎回,
2016-02-17,1.0150,1.0150,0.79%,开放申购,开放赎回,
2016-02-16,1.0070,1.0070,3.60%,开放申购,开放赎回,
2016-02-15,0.9720,0.9720,0.10%,开放申购,开放赎回,
2016-02-05,0.9710,0.9710,-1.32%,开放申购,开放赎回,
2016-02-04,0.9840,0.9840,1.55%,开放申购,开放赎回,
2016-02-03,0.9690,0.9690,0.10%,开放申购,开放赎回,
2016-02-02,0.9680,0.9680,3.09%,开放申购,开放赎回,
2016-02-01,0.9390,0.9390,-0.74%,开放申购,开放赎回,
2016-01-29,0.9460,0.9460,3.73%,开放申购,开放赎回,
2016-01-28,0.9120,0.9120,-3.29%,开放申购,开放赎回,
2016-01-27,0.9430,0.9430,0.00%,开放申购,开放赎回,
2016-01-26,0.9430,0.9430,-6.45%,开放申购,开放赎回,
2016-01-25,1.0080,1.0080,0.60%,开放申购,开放赎回,
2016-01-22,1.0020,1.0020,1.21%,开放申购,开放赎回,
2016-01-21,0.9900,0.9900,-3.32%,开放申购,开放赎回,
2016-01-20,1.0240,1.0240,-1.63%,开放申购,开放赎回,
2016-01-19,1.0410,1.0410,2.87%,开放申购,开放赎回,
2016-01-18,1.0120,1.0120,2.02%,开放申购,开放赎回,
2016-01-15,0.9920,0.9920,-2.46%,开放申购,开放赎回,
2016-01-14,1.0170,1.0170,2.52%,开放申购,开放赎回,
2016-01-13,0.9920,0.9920,-1.29%,开放申购,开放赎回,
2016-01-12,1.0050,1.0050,0.00%,开放申购,开放赎回,
2016-01-11,1.0050,1.0050,0.40%,开放申购,开放赎回,
2016-01-08,1.0010,1.0010,0.00%,开放申购,开放赎回,
2016-01-07,1.0010,1.0010,0.00%,开放申购,开放赎回,
2016-01-06,1.0010,1.0010,,封闭期,封闭期,
2015-12-31,1.0010,1.0010,,封闭期,封闭期,
2015-12-25,1.0000,1.0000,,封闭期,封闭期,
2015-12-23,1.0000,1.0000,,封闭期,封闭期,
