净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,1.0642,1.8631,-0.29%,开放申购,开放赎回,
2016-07-19,1.0673,1.8662,0.21%,开放申购,开放赎回,
2016-07-18,1.0651,1.8640,-0.60%,开放申购,开放赎回,
2016-07-15,1.0715,1.8704,-0.14%,开放申购,开放赎回,
2016-07-14,1.0730,1.8719,0.11%,开放申购,开放赎回,
2016-07-13,1.0718,1.8707,0.95%,开放申购,开放赎回,
2016-07-12,1.0617,1.8606,1.23%,开放申购,开放赎回,
2016-07-11,1.0488,1.8477,-0.64%,开放申购,开放赎回,
2016-07-08,1.0556,1.8545,-0.08%,开放申购,开放赎回,
2016-07-07,1.0564,1.8553,0.09%,开放申购,开放赎回,
2016-07-06,1.0554,1.8543,0.17%,开放申购,开放赎回,
2016-07-05,1.0536,1.8525,0.17%,开放申购,开放赎回,
2016-07-04,1.0518,1.8507,1.54%,开放申购,开放赎回,
2016-07-01,1.0358,1.8347,-0.26%,开放申购,开放赎回,
2016-06-30,1.0385,1.8374,0.16%,开放申购,开放赎回,
2016-06-29,1.0368,1.8357,-0.13%,开放申购,开放赎回,
2016-06-28,1.0382,1.8371,1.16%,开放申购,开放赎回,
2016-06-27,1.0263,1.8252,2.22%,开放申购,开放赎回,
2016-06-24,1.0040,1.8029,-1.47%,开放申购,开放赎回,
2016-06-23,1.0190,1.8179,-0.75%,开放申购,开放赎回,
2016-06-22,1.0267,1.8256,1.29%,开放申购,开放赎回,
2016-06-21,1.0136,1.8125,-0.79%,开放申购,开放赎回,
2016-06-20,1.0217,1.8206,0.45%,开放申购,开放赎回,
2016-06-17,1.0171,1.8160,0.82%,开放申购,开放赎回,
2016-06-16,1.0088,1.8077,-0.57%,开放申购,开放赎回,
2016-06-15,1.0146,1.8135,2.83%,开放申购,开放赎回,
2016-06-14,0.9867,1.7856,0.33%,开放申购,开放赎回,
2016-06-13,0.9835,1.7824,-4.44%,开放申购,开放赎回,
2016-06-08,1.0292,1.8281,-0.16%,开放申购,开放赎回,
2016-06-07,1.0308,1.8297,-0.25%,开放申购,开放赎回,
2016-06-06,1.0334,1.8323,0.49%,开放申购,开放赎回,
2016-06-03,1.0284,1.8273,0.99%,开放申购,开放赎回,
2016-06-02,1.0183,1.8172,0.56%,开放申购,开放赎回,
2016-06-01,1.0126,1.8115,0.55%,开放申购,开放赎回,
2016-05-31,1.0071,1.8060,4.19%,开放申购,开放赎回,
2016-05-30,0.9666,1.7655,-0.43%,开放申购,开放赎回,
2016-05-27,0.9708,1.7697,-0.07%,开放申购,开放赎回,
2016-05-26,0.9715,1.7704,0.34%,开放申购,开放赎回,
2016-05-25,0.9682,1.7671,-0.26%,开放申购,开放赎回,
2016-05-24,0.9707,1.7696,-0.95%,开放申购,开放赎回,
2016-05-23,0.9800,1.7789,0.76%,开放申购,开放赎回,
2016-05-20,0.9726,1.7715,0.83%,开放申购,开放赎回,
2016-05-19,0.9646,1.7635,0.21%,开放申购,开放赎回,
2016-05-18,0.9626,1.7615,-2.08%,开放申购,开放赎回,
2016-05-17,0.9830,1.7819,-0.06%,开放申购,开放赎回,
2016-05-16,0.9836,1.7825,1.73%,开放申购,开放赎回,
2016-05-13,0.9669,1.7658,-0.44%,开放申购,开放赎回,
2016-05-12,0.9712,1.7701,0.50%,开放申购,开放赎回,
2016-05-11,0.9664,1.7653,-0.14%,开放申购,开放赎回,
2016-05-10,0.9678,1.7667,0.14%,暂停申购,暂停赎回,
2016-05-09,0.9874,1.7653,-2.67%,暂停申购,暂停赎回,每份基金份额折算1.021678419份
2016-05-06,1.0145,1.7924,-3.76%,开放申购,开放赎回,
2016-05-05,1.0541,1.8320,0.33%,开放申购,开放赎回,
2016-05-04,1.0506,1.8285,-0.12%,开放申购,开放赎回,
2016-05-03,1.0519,1.8298,3.00%,开放申购,开放赎回,
2016-04-29,1.0213,1.7992,0.06%,开放申购,开放赎回,
2016-04-28,1.0207,1.7986,-0.20%,开放申购,开放赎回,
2016-04-27,1.0227,1.8006,-0.48%,开放申购,开放赎回,
2016-04-26,1.0276,1.8055,0.94%,开放申购,开放赎回,
2016-04-25,1.0180,1.7959,-0.33%,开放申购,开放赎回,
2016-04-22,1.0214,1.7993,1.02%,开放申购,开放赎回,
2016-04-21,1.0111,1.7890,-0.97%,开放申购,开放赎回,
2016-04-20,1.0210,1.7989,-3.92%,开放申购,开放赎回,
2016-04-19,1.0627,1.8406,0.37%,开放申购,开放赎回,
2016-04-18,1.0588,1.8367,-1.84%,开放申购,开放赎回,
2016-04-15,1.0786,1.8565,-0.26%,开放申购,开放赎回,
2016-04-14,1.0814,1.8593,0.82%,开放申购,开放赎回,
2016-04-13,1.0726,1.8505,1.56%,开放申购,开放赎回,
2016-04-12,1.0561,1.8340,-0.78%,开放申购,开放赎回,
2016-04-11,1.0644,1.8423,1.72%,开放申购,开放赎回,
2016-04-08,1.0464,1.8243,-0.70%,开放申购,开放赎回,
2016-04-07,1.0538,1.8317,-2.04%,开放申购,开放赎回,
2016-04-06,1.0757,1.8536,0.56%,开放申购,开放赎回,
2016-04-05,1.0697,1.8476,2.73%,开放申购,开放赎回,
2016-04-01,1.0413,1.8192,-0.93%,开放申购,开放赎回,
