净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,0.8840,0.8840,-0.19%,开放申购,开放赎回,
2016-07-19,0.8857,0.8857,0.24%,开放申购,开放赎回,
2016-07-18,0.8836,0.8836,-0.41%,开放申购,开放赎回,
2016-07-15,0.8872,0.8872,-0.16%,开放申购,开放赎回,
2016-07-14,0.8886,0.8886,0.15%,开放申购,开放赎回,
2016-07-13,0.8873,0.8873,0.72%,开放申购,开放赎回,
2016-07-12,0.8810,0.8810,1.12%,开放申购,开放赎回,
2016-07-11,0.8712,0.8712,0.18%,开放申购,开放赎回,
2016-07-08,0.8696,0.8696,-0.24%,开放申购,开放赎回,
2016-07-07,0.8717,0.8717,0.31%,开放申购,开放赎回,
2016-07-06,0.8690,0.8690,0.42%,开放申购,开放赎回,
2016-07-05,0.8654,0.8654,0.52%,开放申购,开放赎回,
2016-07-04,0.8609,0.8609,1.73%,开放申购,开放赎回,
2016-07-01,0.8463,0.8463,-0.15%,开放申购,开放赎回,
2016-06-30,0.8476,0.8476,0.06%,开放申购,开放赎回,
2016-06-29,0.8471,0.8471,0.19%,开放申购,开放赎回,
2016-06-28,0.8455,0.8455,0.94%,开放申购,开放赎回,
2016-06-27,0.8376,0.8376,2.05%,开放申购,开放赎回,
2016-06-24,0.8208,0.8208,-1.06%,开放申购,开放赎回,
2016-06-23,0.8296,0.8296,-0.43%,开放申购,开放赎回,
2016-06-22,0.8332,0.8332,1.37%,开放申购,开放赎回,
2016-06-21,0.8219,0.8219,-1.01%,开放申购,开放赎回,
2016-06-20,0.8303,0.8303,0.33%,开放申购,开放赎回,
2016-06-17,0.8276,0.8276,0.52%,开放申购,开放赎回,
2016-06-16,0.8233,0.8233,-0.33%,开放申购,开放赎回,
2016-06-15,0.8260,0.8260,2.90%,开放申购,开放赎回,
2016-06-14,0.8027,0.8027,0.24%,开放申购,开放赎回,
2016-06-13,0.8008,0.8008,-4.07%,开放申购,开放赎回,
2016-06-08,0.8348,0.8348,-0.29%,开放申购,开放赎回,
2016-06-07,0.8372,0.8372,-0.07%,开放申购,开放赎回,
2016-06-06,0.8378,0.8378,0.30%,开放申购,开放赎回,
2016-06-03,0.8353,0.8353,0.29%,开放申购,开放赎回,
2016-06-02,0.8329,0.8329,0.63%,开放申购,开放赎回,
2016-06-01,0.8277,0.8277,0.40%,开放申购,开放赎回,
2016-05-31,0.8244,0.8244,3.65%,开放申购,开放赎回,
2016-05-30,0.7954,0.7954,-0.40%,开放申购,开放赎回,
2016-05-27,0.7986,0.7986,-0.03%,开放申购,开放赎回,
2016-05-26,0.7988,0.7988,0.43%,开放申购,开放赎回,
2016-05-25,0.7954,0.7954,-0.41%,开放申购,开放赎回,
2016-05-24,0.7987,0.7987,-1.00%,开放申购,开放赎回,
2016-05-23,0.8068,0.8068,1.17%,开放申购,开放赎回,
2016-05-20,0.7975,0.7975,1.06%,开放申购,开放赎回,
2016-05-19,0.7891,0.7891,0.54%,开放申购,开放赎回,
2016-05-18,0.7849,0.7849,-2.39%,开放申购,开放赎回,
2016-05-17,0.8041,0.8041,-0.32%,开放申购,开放赎回,
2016-05-16,0.8067,0.8067,1.48%,开放申购,开放赎回,
2016-05-13,0.7949,0.7949,-0.21%,开放申购,开放赎回,
2016-05-12,0.7966,0.7966,0.03%,开放申购,开放赎回,
2016-05-11,0.7964,0.7964,-0.25%,开放申购,开放赎回,
2016-05-10,0.7984,0.7984,-0.06%,开放申购,开放赎回,
2016-05-09,0.7989,0.7989,-3.15%,开放申购,开放赎回,
2016-05-06,0.8249,0.8249,-3.38%,开放申购,开放赎回,
2016-05-05,0.8538,0.8538,0.47%,开放申购,开放赎回,
2016-05-04,0.8498,0.8498,0.04%,开放申购,开放赎回,
2016-05-03,0.8495,0.8495,2.62%,开放申购,开放赎回,
2016-04-29,0.8278,0.8278,-0.11%,开放申购,开放赎回,
2016-04-28,0.8287,0.8287,-0.38%,开放申购,开放赎回,
2016-04-27,0.8319,0.8319,-0.43%,开放申购,开放赎回,
2016-04-26,0.8355,0.8355,1.02%,开放申购,开放赎回,
2016-04-25,0.8271,0.8271,-0.45%,开放申购,开放赎回,
2016-04-22,0.8308,0.8308,0.58%,开放申购,开放赎回,
2016-04-21,0.8260,0.8260,-0.76%,开放申购,开放赎回,
2016-04-20,0.8323,0.8323,-3.95%,开放申购,开放赎回,
2016-04-19,0.8665,0.8665,0.38%,开放申购,开放赎回,
2016-04-18,0.8632,0.8632,-1.43%,开放申购,开放赎回,
2016-04-15,0.8757,0.8757,-0.23%,开放申购,开放赎回,
2016-04-14,0.8777,0.8777,0.79%,开放申购,开放赎回,
2016-04-13,0.8708,0.8708,1.30%,开放申购,开放赎回,
2016-04-12,0.8596,0.8596,-0.70%,开放申购,开放赎回,
2016-04-11,0.8657,0.8657,1.93%,开放申购,开放赎回,
2016-04-08,0.8493,0.8493,-0.86%,开放申购,开放赎回,
2016-04-07,0.8567,0.8567,-1.32%,开放申购,开放赎回,
2016-04-06,0.8682,0.8682,0.53%,开放申购,开放赎回,
2016-04-05,0.8636,0.8636,2.35%,开放申购,开放赎回,
2016-04-01,0.8438,0.8438,-0.46%,开放申购,开放赎回,
2016-03-31,0.8477,0.8477,0.24%,开放申购,开放赎回,
2016-03-30,0.8457,0.8457,3.20%,开放申购,开放赎回,
2016-03-29,0.8195,0.8195,-1.68%,开放申购,开放赎回,
2016-03-28,0.8335,0.8335,-0.58%,开放申购,开放赎回,
2016-03-25,0.8384,0.8384,0.84%,开放申购,开放赎回,
2016-03-24,0.8314,0.8314,-1.43%,开放申购,开放赎回,
2016-03-23,0.8435,0.8435,0.63%,开放申购,开放赎回,
2016-03-22,0.8382,0.8382,-0.33%,开放申购,开放赎回,
2016-03-21,0.8410,0.8410,2.15%,开放申购,开放赎回,
2016-03-18,0.8233,0.8233,3.07%,开放申购,开放赎回,
2016-03-17,0.7988,0.7988,2.82%,开放申购,开放赎回,
2016-03-16,0.7769,0.7769,-1.22%,开放申购,开放赎回,
2016-03-15,0.7865,0.7865,-0.73%,开放申购,开放赎回,
2016-03-14,0.7923,0.7923,2.90%,开放申购,开放赎回,
2016-03-11,0.7700,0.7700,-0.13%,开放申购,开放赎回,
2016-03-10,0.7710,0.7710,-1.38%,开放申购,开放赎回,
2016-03-09,0.7818,0.7818,-2.21%,开放申购,开放赎回,
2016-03-08,0.7995,0.7995,0.19%,开放申购,开放赎回,
2016-03-07,0.7980,0.7980,2.01%,开放申购,开放赎回,
2016-03-04,0.7823,0.7823,-2.36%,开放申购,开放赎回,
2016-03-03,0.8012,0.8012,0.38%,开放申购,开放赎回,
2016-03-02,0.7982,0.7982,4.41%,开放申购,开放赎回,
2016-03-01,0.7645,0.7645,2.00%,开放申购,开放赎回,
2016-02-29,0.7495,0.7495,-4.63%,开放申购,开放赎回,
2016-02-26,0.7859,0.7859,0.40%,开放申购,开放赎回,
2016-02-25,0.7828,0.7828,-6.99%,开放申购,开放赎回,
2016-02-24,0.8416,0.8416,0.57%,开放申购,开放赎回,
2016-02-23,0.8368,0.8368,-0.49%,开放申购,开放赎回,
2016-02-22,0.8409,0.8409,1.83%,开放申购,开放赎回,
2016-02-19,0.8258,0.8258,0.34%,开放申购,开放赎回,
2016-02-18,0.8230,0.8230,-0.23%,开放申购,开放赎回,
2016-02-17,0.8249,0.8249,1.00%,开放申购,开放赎回,
2016-02-16,0.8167,0.8167,3.60%,开放申购,开放赎回,
2016-02-15,0.7883,0.7883,0.06%,开放申购,开放赎回,
2016-02-05,0.7878,0.7878,-0.87%,开放申购,开放赎回,
2016-02-04,0.7947,0.7947,1.74%,开放申购,开放赎回,
2016-02-03,0.7811,0.7811,0.33%,开放申购,开放赎回,
2016-02-02,0.7785,0.7785,3.03%,开放申购,开放赎回,
2016-02-01,0.7556,0.7556,-1.10%,开放申购,开放赎回,
2016-01-29,0.7640,0.7640,3.26%,开放申购,开放赎回,
