净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,1.1032,1.9532,-0.41%,开放申购,开放赎回,
2016-07-19,1.1077,1.9577,0.41%,开放申购,开放赎回,
2016-07-18,1.1032,1.9532,-0.68%,开放申购,开放赎回,
2016-07-15,1.1108,1.9608,-0.64%,开放申购,开放赎回,
2016-07-14,1.1179,1.9679,-0.04%,开放申购,开放赎回,
2016-07-13,1.1183,1.9683,0.36%,开放申购,开放赎回,
2016-07-12,1.1143,1.9643,0.94%,开放申购,开放赎回,
2016-07-11,1.1039,1.9539,-0.33%,开放申购,开放赎回,
2016-07-08,1.1076,1.9576,-0.02%,开放申购,开放赎回,
2016-07-07,1.1078,1.9578,-0.11%,开放申购,开放赎回,
2016-07-06,1.1090,1.9590,0.66%,开放申购,开放赎回,
2016-07-05,1.1017,1.9517,0.79%,开放申购,开放赎回,
2016-07-04,1.0931,1.9431,1.44%,开放申购,开放赎回,
2016-07-01,1.0776,1.9276,-0.28%,开放申购,开放赎回,
2016-06-30,1.0806,1.9306,-0.06%,开放申购,开放赎回,
2016-06-29,1.0813,1.9313,0.24%,开放申购,开放赎回,
2016-06-28,1.0787,1.9287,0.38%,开放申购,开放赎回,
2016-06-27,1.0746,1.9246,1.85%,开放申购,开放赎回,
2016-06-24,1.0551,1.9051,-1.18%,开放申购,开放赎回,
2016-06-23,1.0677,1.9177,-0.51%,开放申购,开放赎回,
2016-06-22,1.0732,1.9232,1.29%,开放申购,开放赎回,
2016-06-21,1.0595,1.9095,-1.24%,开放申购,开放赎回,
2016-06-20,1.0728,1.9228,0.36%,开放申购,开放赎回,
2016-06-17,1.0690,1.9190,0.64%,开放申购,开放赎回,
2016-06-16,1.0622,1.9122,0.00%,开放申购,开放赎回,
2016-06-15,1.0622,1.9122,2.77%,开放申购,开放赎回,每份派现金0.0100元
2016-06-14,1.0433,1.8833,0.60%,开放申购,开放赎回,
2016-06-13,1.0371,1.8771,-3.44%,开放申购,开放赎回,
2016-06-08,1.0740,1.9140,-0.45%,开放申购,开放赎回,
2016-06-07,1.0789,1.9189,0.07%,开放申购,开放赎回,
2016-06-06,1.0781,1.9181,0.25%,开放申购,开放赎回,
2016-06-03,1.0754,1.9154,0.05%,开放申购,开放赎回,
2016-06-02,1.0749,1.9149,0.67%,开放申购,开放赎回,
2016-06-01,1.0677,1.9077,0.30%,开放申购,开放赎回,
2016-05-31,1.0645,1.9045,2.67%,开放申购,开放赎回,每份派现金0.0100元
2016-05-30,1.0466,1.8766,-0.38%,开放申购,开放赎回,
2016-05-27,1.0506,1.8806,-0.24%,开放申购,开放赎回,
2016-05-26,1.0531,1.8831,0.41%,开放申购,开放赎回,
2016-05-25,1.0488,1.8788,-0.22%,开放申购,开放赎回,
2016-05-24,1.0511,1.8811,-1.03%,开放申购,开放赎回,
2016-05-23,1.0620,1.8920,1.01%,开放申购,开放赎回,
2016-05-20,1.0514,1.8814,1.16%,开放申购,开放赎回,
2016-05-19,1.0393,1.8693,0.04%,开放申购,开放赎回,
2016-05-18,1.0389,1.8689,-1.94%,开放申购,开放赎回,每份派现金0.0100元
2016-05-17,1.0697,1.8897,-0.31%,开放申购,开放赎回,
2016-05-16,1.0730,1.8930,1.19%,开放申购,开放赎回,
2016-05-13,1.0604,1.8804,-0.39%,开放申购,开放赎回,
2016-05-12,1.0645,1.8845,-0.42%,开放申购,开放赎回,
2016-05-11,1.0690,1.8890,-0.78%,开放申购,开放赎回,
2016-05-10,1.0774,1.8974,-0.11%,开放申购,开放赎回,
2016-05-09,1.0786,1.8986,-3.11%,开放申购,开放赎回,
2016-05-06,1.1132,1.9332,-2.85%,开放申购,开放赎回,
2016-05-05,1.1458,1.9658,0.98%,开放申购,开放赎回,每份派现金0.0100元
2016-05-04,1.1446,1.9546,-0.18%,开放申购,开放赎回,
2016-05-03,1.1467,1.9567,2.09%,开放申购,开放赎回,
2016-04-29,1.1232,1.9332,0.19%,开放申购,开放赎回,
2016-04-28,1.1211,1.9311,-0.06%,开放申购,开放赎回,
2016-04-27,1.1218,1.9318,-0.63%,开放申购,开放赎回,
2016-04-26,1.1289,1.9389,1.14%,开放申购,开放赎回,
2016-04-25,1.1162,1.9262,-0.18%,开放申购,开放赎回,
2016-04-22,1.1182,1.9282,0.58%,开放申购,开放赎回,
2016-04-21,1.1118,1.9218,-1.01%,开放申购,开放赎回,每份派现金0.0100元
2016-04-20,1.1333,1.9333,-3.43%,开放申购,开放赎回,
2016-04-19,1.1736,1.9736,0.25%,开放申购,开放赎回,
2016-04-18,1.1707,1.9707,-1.61%,开放申购,开放赎回,
2016-04-15,1.1899,1.9899,-0.04%,开放申购,开放赎回,
2016-04-14,1.1904,1.9904,1.17%,开放申购,开放赎回,
2016-04-13,1.1766,1.9766,1.19%,开放申购,开放赎回,
2016-04-12,1.1628,1.9628,-0.92%,开放申购,开放赎回,
2016-04-11,1.1736,1.9736,1.01%,开放申购,开放赎回,
2016-04-08,1.1619,1.9619,-0.58%,开放申购,开放赎回,每份派现金0.0100元
2016-04-07,1.1787,1.9687,-0.72%,开放申购,开放赎回,
2016-04-06,1.1872,1.9772,0.18%,开放申购,开放赎回,
2016-04-05,1.1851,1.9751,1.43%,开放申购,开放赎回,
2016-04-01,1.1684,1.9584,0.15%,开放申购,开放赎回,
2016-03-31,1.1667,1.9567,0.00%,开放申购,开放赎回,
2016-03-30,1.1667,1.9567,2.25%,开放申购,开放赎回,
2016-03-29,1.1410,1.9310,-1.51%,开放申购,开放赎回,
2016-03-28,1.1585,1.9485,-1.09%,开放申购,开放赎回,
2016-03-25,1.1713,1.9613,0.25%,开放申购,开放赎回,每份派现金0.0100元
2016-03-24,1.1784,1.9584,-0.95%,开放申购,开放赎回,
2016-03-23,1.1897,1.9697,0.34%,开放申购,开放赎回,
2016-03-22,1.1857,1.9657,-0.63%,开放申购,开放赎回,
2016-03-21,1.1932,1.9732,1.94%,开放申购,开放赎回,
2016-03-18,1.1705,1.9505,2.59%,开放申购,开放赎回,
2016-03-17,1.1410,1.9210,2.16%,开放申购,开放赎回,
2016-03-16,1.1169,1.8969,-0.45%,开放申购,开放赎回,
2016-03-15,1.1220,1.9020,-0.28%,开放申购,开放赎回,
2016-03-14,1.1251,1.9051,2.08%,开放申购,开放赎回,每份派现金0.0100元
2016-03-11,1.1120,1.8820,-0.16%,开放申购,开放赎回,
2016-03-10,1.1138,1.8838,-1.13%,开放申购,开放赎回,
2016-03-09,1.1265,1.8965,-1.47%,开放申购,开放赎回,
2016-03-08,1.1433,1.9133,-0.41%,开放申购,开放赎回,
2016-03-07,1.1480,1.9180,0.74%,开放申购,开放赎回,
2016-03-04,1.1396,1.9096,-1.11%,开放申购,开放赎回,
2016-03-03,1.1524,1.9224,-0.08%,开放申购,开放赎回,
2016-03-02,1.1533,1.9233,2.96%,开放申购,开放赎回,
2016-03-01,1.1201,1.8901,1.30%,开放申购,开放赎回,每份派现金0.0100元
2016-02-29,1.1156,2.0756,-3.25%,开放申购,开放赎回,
2016-02-26,1.1531,1.9131,-0.34%,开放申购,开放赎回,
2016-02-25,1.1570,1.9170,-4.91%,开放申购,开放赎回,
2016-02-24,1.2167,1.9767,-0.30%,开放申购,开放赎回,
2016-02-23,1.2204,1.9804,-0.56%,开放申购,开放赎回,
2016-02-22,1.2273,1.9873,0.77%,开放申购,开放赎回,
2016-02-19,1.2179,1.9779,0.33%,开放申购,开放赎回,
2016-02-18,1.2139,1.9739,-0.37%,开放申购,开放赎回,
2016-02-17,1.2184,1.9784,0.75%,开放申购,开放赎回,每份派现金0.0100元
2016-02-16,1.2192,1.9692,2.07%,开放申购,开放赎回,
2016-02-15,1.1945,1.9445,-0.17%,开放申购,开放赎回,
2016-02-05,1.1965,1.9465,-0.34%,开放申购,开放赎回,
2016-02-04,1.2006,1.9506,1.04%,开放申购,开放赎回,
2016-02-03,1.1882,1.9382,0.44%,开放申购,开放赎回,
2016-02-02,1.1830,1.9330,2.20%,开放申购,开放赎回,
2016-02-01,1.1575,1.9075,-0.58%,限制大额申购,开放赎回,
2016-01-29,1.1643,1.9143,1.65%,限制大额申购,开放赎回,
2016-01-28,1.1454,1.8954,-1.99%,限制大额申购,开放赎回,每份派现金0.0100元
