净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,1.1740,1.1740,0.08%,开放申购,开放赎回,
2016-07-19,1.1731,1.1731,0.03%,开放申购,开放赎回,
2016-07-18,1.1728,1.1728,0.01%,开放申购,开放赎回,
2016-07-15,1.1727,1.1727,0.02%,开放申购,开放赎回,
2016-07-14,1.1725,1.1725,0.03%,开放申购,开放赎回,
2016-07-13,1.1722,1.1722,-0.03%,开放申购,开放赎回,
2016-07-12,1.1726,1.1726,-0.03%,开放申购,开放赎回,
2016-07-11,1.1730,1.1730,-0.01%,开放申购,开放赎回,
2016-07-08,1.1731,1.1731,0.04%,开放申购,开放赎回,
2016-07-07,1.1726,1.1726,0.09%,开放申购,开放赎回,
2016-07-06,1.1716,1.1716,0.01%,开放申购,开放赎回,
2016-07-05,1.1715,1.1715,0.03%,开放申购,开放赎回,
2016-07-04,1.1711,1.1711,0.09%,开放申购,开放赎回,
2016-07-01,1.1701,1.1701,0.05%,开放申购,开放赎回,
2016-06-30,1.1695,1.1695,-0.01%,开放申购,开放赎回,
2016-06-29,1.1696,1.1696,-0.04%,开放申购,开放赎回,
2016-06-28,1.1701,1.1701,0.03%,开放申购,开放赎回,
2016-06-27,1.1697,1.1697,0.11%,开放申购,开放赎回,
2016-06-24,1.1684,1.1684,0.06%,开放申购,开放赎回,
2016-06-23,1.1677,1.1677,0.03%,开放申购,开放赎回,
2016-06-22,1.1674,1.1674,0.00%,开放申购,开放赎回,
2016-06-21,1.1674,1.1674,0.00%,开放申购,开放赎回,
2016-06-20,1.1674,1.1674,0.06%,开放申购,开放赎回,
2016-06-17,1.1667,1.1667,0.03%,开放申购,开放赎回,
2016-06-16,1.1663,1.1663,0.01%,开放申购,开放赎回,
2016-06-15,1.1662,1.1662,0.04%,开放申购,开放赎回,
2016-06-14,1.1657,1.1657,0.01%,开放申购,开放赎回,
2016-06-13,1.1656,1.1656,0.05%,开放申购,开放赎回,
2016-06-08,1.1650,1.1650,0.02%,开放申购,开放赎回,
2016-06-07,1.1648,1.1648,0.01%,开放申购,开放赎回,
2016-06-06,1.1647,1.1647,0.04%,开放申购,开放赎回,
2016-06-03,1.1642,1.1642,0.03%,开放申购,开放赎回,
2016-06-02,1.1638,1.1638,0.00%,开放申购,开放赎回,
2016-06-01,1.1638,1.1638,-0.03%,开放申购,开放赎回,
2016-05-31,1.1641,1.1641,-0.02%,开放申购,开放赎回,
2016-05-30,1.1643,1.1643,0.06%,开放申购,开放赎回,
2016-05-27,1.1636,1.1636,-0.02%,开放申购,开放赎回,
2016-05-26,1.1638,1.1638,-0.02%,开放申购,开放赎回,
2016-05-25,1.1640,1.1640,0.01%,开放申购,开放赎回,
2016-05-24,1.1639,1.1639,0.00%,开放申购,开放赎回,
2016-05-23,1.1639,1.1639,0.03%,开放申购,开放赎回,
2016-05-20,1.1636,1.1636,-0.04%,开放申购,开放赎回,
2016-05-19,1.1641,1.1641,-0.04%,开放申购,开放赎回,
2016-05-18,1.1646,1.1646,-0.02%,开放申购,开放赎回,
2016-05-17,1.1648,1.1648,0.01%,开放申购,开放赎回,
2016-05-16,1.1647,1.1647,0.02%,开放申购,开放赎回,
2016-05-13,1.1645,1.1645,0.03%,开放申购,开放赎回,
2016-05-12,1.1642,1.1642,0.03%,开放申购,开放赎回,
2016-05-11,1.1638,1.1638,0.04%,开放申购,开放赎回,
2016-05-10,1.1633,1.1633,0.09%,开放申购,开放赎回,
2016-05-09,1.1623,1.1623,0.16%,开放申购,开放赎回,
2016-05-06,1.1605,1.1605,-0.01%,开放申购,开放赎回,
2016-05-05,1.1606,1.1606,0.09%,开放申购,开放赎回,
2016-05-04,1.1596,1.1596,0.01%,开放申购,开放赎回,
2016-05-03,1.1595,1.1595,0.03%,开放申购,开放赎回,
2016-04-29,1.1591,1.1591,-0.02%,开放申购,开放赎回,
2016-04-28,1.1593,1.1593,0.01%,开放申购,开放赎回,
2016-04-27,1.1592,1.1592,0.08%,开放申购,开放赎回,
2016-04-26,1.1583,1.1583,-0.03%,开放申购,开放赎回,
2016-04-25,1.1587,1.1587,-0.32%,开放申购,开放赎回,
2016-04-22,1.1624,1.1624,-0.17%,开放申购,开放赎回,
2016-04-21,1.1644,1.1644,-0.15%,开放申购,开放赎回,
2016-04-20,1.1661,1.1661,-0.11%,开放申购,开放赎回,
2016-04-19,1.1674,1.1674,-0.03%,开放申购,开放赎回,
2016-04-18,1.1678,1.1678,0.10%,开放申购,开放赎回,
2016-04-15,1.1666,1.1666,-0.01%,开放申购,开放赎回,
2016-04-14,1.1667,1.1667,-0.19%,开放申购,开放赎回,
2016-04-13,1.1689,1.1689,-0.17%,开放申购,开放赎回,
2016-04-12,1.1709,1.1709,-0.13%,开放申购,开放赎回,
