净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,1.7540,1.7540,-0.51%,开放申购,开放赎回,
2016-07-19,1.7630,1.7630,0.40%,开放申购,开放赎回,
2016-07-18,1.7560,1.7560,-1.29%,开放申购,开放赎回,
2016-07-15,1.7790,1.7790,-1.55%,开放申购,开放赎回,
2016-07-14,1.8070,1.8070,0.22%,开放申购,开放赎回,
2016-07-13,1.8030,1.8030,0.22%,开放申购,开放赎回,
2016-07-12,1.7990,1.7990,0.22%,开放申购,开放赎回,
2016-07-11,1.7950,1.7950,1.01%,开放申购,开放赎回,
2016-07-08,1.7770,1.7770,0.85%,开放申购,开放赎回,
2016-07-07,1.7620,1.7620,-1.40%,开放申购,开放赎回,
2016-07-06,1.7870,1.7870,0.28%,开放申购,开放赎回,
2016-07-05,1.7820,1.7820,0.79%,开放申购,开放赎回,
2016-07-04,1.7680,1.7680,4.93%,开放申购,开放赎回,
2016-07-01,1.6850,1.6850,1.14%,开放申购,开放赎回,
2016-06-30,1.6660,1.6660,0.00%,开放申购,开放赎回,
2016-06-29,1.6660,1.6660,0.06%,开放申购,开放赎回,
2016-06-28,1.6650,1.6650,0.91%,开放申购,开放赎回,
2016-06-27,1.6500,1.6500,3.90%,开放申购,开放赎回,
2016-06-24,1.5880,1.5880,-1.61%,开放申购,开放赎回,
2016-06-23,1.6140,1.6140,1.13%,开放申购,开放赎回,
2016-06-22,1.5960,1.5960,1.40%,开放申购,开放赎回,
2016-06-21,1.5740,1.5740,-0.76%,开放申购,开放赎回,
2016-06-20,1.5860,1.5860,0.51%,开放申购,开放赎回,
2016-06-17,1.5780,1.5780,0.45%,开放申购,开放赎回,
2016-06-16,1.5710,1.5710,-0.44%,开放申购,开放赎回,
2016-06-15,1.5780,1.5780,3.20%,开放申购,开放赎回,
2016-06-14,1.5290,1.5290,-0.46%,开放申购,开放赎回,
2016-06-13,1.5360,1.5360,-3.64%,开放申购,开放赎回,
2016-06-08,1.5940,1.5940,0.89%,开放申购,开放赎回,
2016-06-07,1.5800,1.5800,0.19%,开放申购,开放赎回,
2016-06-06,1.5770,1.5770,-0.06%,开放申购,开放赎回,
2016-06-03,1.5780,1.5780,-0.13%,开放申购,开放赎回,
2016-06-02,1.5800,1.5800,0.51%,开放申购,开放赎回,
